time,FPS
1680644070,171
1680644071,167
1680644072,174
1680644073,172
1680644074,172
1680644075,172
1680644076,171
1680644077,174
1680644078,172
1680644079,174
1680644080,173
1680644081,173
1680644082,168
1680644083,170
1680644084,182
1680644085,175
1680644086,171
1680644087,166
1680644088,154
1680644089,148
1680644090,142
1680644091,145
1680644092,143
1680644093,136
1680644094,138
1680644095,141
1680644096,145
1680644097,148
1680644098,152
1680644099,152
1680644100,151
1680644101,150
1680644102,151
1680644103,155
1680644104,164
1680644105,151
1680644106,161
1680644107,163
1680644108,164
1680644109,165
1680644110,171
1680644111,170
1680644112,172
1680644113,167
1680644114,168
1680644115,169
1680644116,167
1680644117,168
1680644118,170
1680644119,174
1680644120,163
1680644121,151
1680644122,153
1680644123,151
1680644124,155
1680644125,155
1680644126,150
1680644127,153
1680644128,154
1680644129,156
1680644130,166
1680644131,165
1680644132,168
1680644133,169
1680644134,162
1680644135,166
1680644136,173
1680644137,174
1680644138,176
1680644139,172
1680644140,181
1680644141,168
1680644142,170
1680644143,170
1680644144,180
1680644145,173
1680644146,169
1680644147,177
1680644148,183
1680644149,186
1680644150,187
1680644151,190
1680644152,183
1680644153,183
1680644154,184
1680644155,189
1680644156,192
1680644157,193
1680644158,195
1680644159,196
1680644160,193
1680644161,191
1680644162,194
1680644163,201
1680644164,198
1680644165,195
1680644166,200
1680644167,190
1680644168,200
1680644169,182
1680644170,198
1680644171,193
1680644172,185
1680644173,185
1680644174,183
1680644175,188
1680644176,191
1680644177,194
1680644178,193
1680644179,190
1680644180,190
1680644181,189
1680644182,190
1680644183,193
1680644184,197
1680644185,195
1680644186,197
1680644187,190
1680644188,195
1680644189,186
1680644190,192
1680644191,197
1680644192,193
1680644193,192
1680644194,198
1680644195,188
1680644196,184
1680644197,186
1680644198,188
1680644199,191
1680644200,195
1680644201,198
1680644202,198
1680644203,189
1680644204,195
1680644205,198
1680644206,199
