time,FPS
1675474287,155
1675474288,155
1675474289,157
1675474290,156
1675474291,159
1675474292,159
1675474293,160
1675474294,160
1675474295,159
1675474296,158
1675474297,158
1675474298,158
1675474299,157
1675474300,160
1675474301,167
1675474302,166
1675474303,167
1675474304,162
1675474305,148
1675474306,144
1675474307,140
1675474308,141
1675474309,137
1675474310,132
1675474311,133
1675474312,137
1675474313,140
1675474314,143
1675474315,138
1675474316,141
1675474317,145
1675474318,142
1675474319,145
1675474320,146
1675474321,150
1675474322,153
1675474323,158
1675474324,159
1675474325,153
1675474326,152
1675474327,158
1675474328,163
1675474329,161
1675474330,160
1675474331,163
1675474332,161
1675474333,157
1675474334,151
1675474335,148
1675474336,150
1675474337,154
1675474338,148
1675474339,150
1675474340,148
1675474341,151
1675474342,153
1675474343,150
1675474344,151
1675474345,150
1675474346,151
1675474347,155
1675474348,155
1675474349,149
1675474350,151
1675474351,147
1675474352,149
1675474353,150
1675474354,150
1675474355,153
1675474356,150
1675474357,158
1675474358,157
1675474359,155
1675474360,156
1675474361,154
1675474362,157
1675474363,154
1675474364,157
1675474365,158
1675474366,157
1675474367,159
1675474368,159
1675474369,155
1675474370,148
1675474371,146
1675474372,146
1675474373,149
1675474374,149
1675474375,149
1675474376,152
1675474377,148
1675474378,145
1675474379,147
1675474380,147
1675474381,146
1675474382,148
1675474383,157
1675474384,159
1675474385,160
1675474386,147
1675474387,156
1675474388,155
1675474389,153
1675474390,144
1675474391,140
1675474392,141
1675474393,146
1675474394,146
1675474395,145
1675474396,139
1675474397,142
1675474398,141
1675474399,140
1675474400,140
1675474401,140
1675474402,141
1675474403,146
1675474404,144
1675474405,140
1675474406,141
1675474407,134
1675474408,134
1675474409,134
1675474410,132
1675474411,131
1675474412,130
1675474413,130
1675474414,133
1675474415,139
1675474416,142
1675474417,139
1675474418,139
