time,FPS
1680297798,197
1680297799,201
1680297800,200
1680297801,200
1680297802,201
1680297803,200
1680297804,201
1680297805,199
1680297806,201
1680297807,200
1680297808,198
1680297809,203
1680297810,203
1680297811,207
1680297812,205
1680297813,201
1680297814,184
1680297815,177
1680297816,173
1680297817,173
1680297818,170
1680297819,171
1680297820,177
1680297821,179
1680297822,181
1680297823,179
1680297824,182
1680297825,181
1680297826,184
1680297827,181
1680297828,182
1680297829,190
1680297830,185
1680297831,196
1680297832,198
1680297833,195
1680297834,190
1680297835,195
1680297836,203
1680297837,205
1680297838,196
1680297839,201
1680297840,203
1680297841,200
1680297842,198
1680297843,193
1680297844,187
1680297845,180
1680297846,186
1680297847,190
1680297848,183
1680297849,187
1680297850,188
1680297851,188
1680297852,175
1680297853,186
1680297854,189
1680297855,189
1680297856,195
1680297857,186
1680297858,186
1680297859,190
1680297860,184
1680297861,190
1680297862,189
1680297863,195
1680297864,193
1680297865,186
1680297866,195
1680297867,191
1680297868,192
1680297869,195
1680297870,195
1680297871,196
1680297872,194
1680297873,193
1680297874,202
1680297875,204
1680297876,199
1680297877,200
1680297878,191
1680297879,188
1680297880,180
1680297881,181
1680297882,184
1680297883,187
1680297884,184
1680297885,190
1680297886,194
1680297887,192
1680297888,184
1680297889,188
1680297890,188
1680297891,191
1680297892,186
1680297893,198
1680297894,199
1680297895,196
1680297896,196
1680297897,199
1680297898,196
1680297899,184
1680297900,195
1680297901,193
1680297902,185
1680297903,180
1680297904,172
1680297905,178
1680297906,179
1680297907,179
1680297908,174
1680297909,170
1680297910,176
1680297911,169
1680297912,173
1680297913,170
1680297914,174
1680297915,177
1680297916,179
1680297917,176
1680297918,175
1680297919,173
1680297920,170
1680297921,169
1680297922,171
1680297923,161
1680297924,160
1680297925,165
1680297926,168
1680297927,179
1680297928,183
1680297929,184
1680297930,186
1680297931,169
1680297932,169
1680297933,167
1680297934,170
