time,FPS
1676326554,159
1676326555,160
1676326556,161
1676326557,161
1676326558,160
1676326559,158
1676326560,164
1676326561,163
1676326562,162
1676326563,159
1676326564,164
1676326565,159
1676326566,158
1676326567,160
1676326568,165
1676326569,169
1676326570,174
1676326571,175
1676326572,160
1676326573,154
1676326574,162
1676326575,153
1676326576,148
1676326577,145
1676326578,154
1676326579,158
1676326580,156
1676326581,148
1676326582,146
1676326583,143
1676326584,147
1676326585,149
1676326586,149
1676326587,151
1676326588,151
1676326589,158
1676326590,159
1676326591,151
1676326592,154
1676326593,155
1676326594,161
1676326595,166
1676326596,161
1676326597,164
1676326598,163
1676326599,158
1676326600,152
1676326601,149
1676326602,148
1676326603,153
1676326604,153
1676326605,155
1676326606,153
1676326607,156
1676326608,154
1676326609,155
1676326610,154
1676326611,155
1676326612,162
1676326613,161
1676326614,161
1676326615,156
1676326616,150
1676326617,151
1676326618,150
1676326619,152
1676326620,155
1676326621,156
1676326622,154
1676326623,153
1676326624,159
1676326625,157
1676326626,155
1676326627,157
1676326628,156
1676326629,158
1676326630,154
1676326631,158
1676326632,156
1676326633,163
1676326634,157
1676326635,154
1676326636,151
1676326637,146
1676326638,144
1676326639,145
1676326640,148
1676326641,148
1676326642,151
1676326643,150
1676326644,148
1676326645,143
1676326646,144
1676326647,146
1676326648,147
1676326649,148
1676326650,166
1676326651,158
1676326652,159
1676326653,159
1676326654,158
1676326655,157
1676326656,151
1676326657,143
1676326658,142
1676326659,145
1676326660,148
1676326661,147
1676326662,144
1676326663,145
1676326664,144
1676326665,143
1676326666,143
1676326667,141
1676326668,142
1676326669,145
1676326670,148
1676326671,141
1676326672,142
1676326673,140
1676326674,135
1676326675,134
1676326676,136
1676326677,126
1676326678,128
1676326679,133
1676326680,135
1676326681,139
1676326682,142
1676326683,142
1676326684,144
1676326685,135
1676326686,140
1676326687,136
1676326688,142
1676326689,142
1676326690,142
1676326691,143
1676326692,142
