time,FPS
1675128432,158
1675128433,159
1675128434,159
1675128435,160
1675128436,158
1675128437,163
1675128438,161
1675128439,160
1675128440,163
1675128441,163
1675128442,160
1675128443,162
1675128444,157
1675128445,161
1675128446,167
1675128447,168
1675128448,173
1675128449,175
1675128450,164
1675128451,148
1675128452,157
1675128453,157
1675128454,147
1675128455,143
1675128456,150
1675128457,148
1675128458,154
1675128459,148
1675128460,145
1675128461,147
1675128462,146
1675128463,149
1675128464,147
1675128465,152
1675128466,148
1675128467,158
1675128468,159
1675128469,157
1675128470,154
1675128471,151
1675128472,161
1675128473,165
1675128474,165
1675128475,160
1675128476,164
1675128477,157
1675128478,155
1675128479,150
1675128480,146
1675128481,152
1675128482,152
1675128483,154
1675128484,152
1675128485,157
1675128486,154
1675128487,150
1675128488,153
1675128489,152
1675128490,157
1675128491,159
1675128492,157
1675128493,154
1675128494,148
1675128495,151
1675128496,149
1675128497,153
1675128498,156
1675128499,155
1675128500,156
1675128501,155
1675128502,163
1675128503,162
1675128504,158
1675128505,158
1675128506,159
1675128507,159
1675128508,157
1675128509,160
1675128510,158
1675128511,167
1675128512,161
1675128513,156
1675128514,152
1675128515,147
1675128516,144
1675128517,145
1675128518,147
1675128519,147
1675128520,148
1675128521,151
1675128522,147
1675128523,145
1675128524,146
1675128525,147
1675128526,148
1675128527,150
1675128528,166
1675128529,161
1675128530,161
1675128531,161
1675128532,160
1675128533,158
1675128534,152
1675128535,143
1675128536,141
1675128537,142
1675128538,146
1675128539,146
1675128540,143
1675128541,142
1675128542,142
1675128543,141
1675128544,141
1675128545,136
1675128546,139
1675128547,142
1675128548,145
1675128549,141
1675128550,141
1675128551,139
1675128552,132
1675128553,134
1675128554,135
1675128555,127
1675128556,129
1675128557,129
1675128558,134
1675128559,135
1675128560,141
1675128561,144
1675128562,146
1675128563,138
1675128564,143
1675128565,140
1675128566,144
1675128567,145
1675128568,145
1675128569,145
1675128570,140
