time,FPS
1677203052,160
1677203053,160
1677203054,157
1677203055,159
1677203056,160
1677203057,162
1677203058,163
1677203059,164
1677203060,159
1677203061,163
1677203062,164
1677203063,156
1677203064,160
1677203065,158
1677203066,165
1677203067,170
1677203068,171
1677203069,177
1677203070,160
1677203071,153
1677203072,160
1677203073,154
1677203074,149
1677203075,147
1677203076,151
1677203077,155
1677203078,155
1677203079,145
1677203080,146
1677203081,148
1677203082,148
1677203083,147
1677203084,149
1677203085,150
1677203086,152
1677203087,160
1677203088,157
1677203089,155
1677203090,154
1677203091,156
1677203092,163
1677203093,165
1677203094,160
1677203095,164
1677203096,162
1677203097,156
1677203098,155
1677203099,147
1677203100,148
1677203101,154
1677203102,151
1677203103,153
1677203104,153
1677203105,157
1677203106,156
1677203107,152
1677203108,156
1677203109,157
1677203110,162
1677203111,159
1677203112,160
1677203113,153
1677203114,152
1677203115,150
1677203116,149
1677203117,154
1677203118,156
1677203119,155
1677203120,153
1677203121,155
1677203122,161
1677203123,159
1677203124,157
1677203125,158
1677203126,158
1677203127,161
1677203128,158
1677203129,159
1677203130,158
1677203131,160
1677203132,160
1677203133,152
1677203134,151
1677203135,145
1677203136,147
1677203137,146
1677203138,146
1677203139,145
1677203140,148
1677203141,146
1677203142,149
1677203143,150
1677203144,147
1677203145,142
1677203146,144
1677203147,147
1677203148,146
1677203149,149
1677203150,169
1677203151,162
1677203152,159
1677203153,159
1677203154,157
1677203155,158
1677203156,152
1677203157,144
1677203158,141
1677203159,144
1677203160,146
1677203161,145
1677203162,141
1677203163,140
1677203164,140
1677203165,139
1677203166,139
1677203167,138
1677203168,139
1677203169,141
1677203170,146
1677203171,139
1677203172,140
1677203173,140
1677203174,134
1677203175,133
1677203176,135
1677203177,129
1677203178,131
1677203179,133
1677203180,133
1677203181,137
1677203182,138
1677203183,139
1677203184,143
1677203185,140
1677203186,134
1677203187,140
1677203188,141
1677203189,136
1677203190,141
