time,FPS
1675978809,161
1675978810,161
1675978811,158
1675978812,158
1675978813,162
1675978814,161
1675978815,163
1675978816,164
1675978817,160
1675978818,163
1675978819,164
1675978820,163
1675978821,161
1675978822,161
1675978823,160
1675978824,167
1675978825,173
1675978826,175
1675978827,171
1675978828,154
1675978829,154
1675978830,161
1675978831,151
1675978832,145
1675978833,146
1675978834,156
1675978835,155
1675978836,150
1675978837,146
1675978838,145
1675978839,147
1675978840,148
1675978841,147
1675978842,151
1675978843,148
1675978844,156
1675978845,159
1675978846,158
1675978847,152
1675978848,152
1675978849,160
1675978850,165
1675978851,166
1675978852,159
1675978853,166
1675978854,159
1675978855,156
1675978856,152
1675978857,147
1675978858,151
1675978859,152
1675978860,153
1675978861,152
1675978862,152
1675978863,158
1675978864,155
1675978865,157
1675978866,154
1675978867,158
1675978868,163
1675978869,158
1675978870,157
1675978871,149
1675978872,152
1675978873,149
1675978874,152
1675978875,154
1675978876,155
1675978877,154
1675978878,154
1675978879,162
1675978880,160
1675978881,159
1675978882,155
1675978883,159
1675978884,161
1675978885,158
1675978886,165
1675978887,163
1675978888,163
1675978889,161
1675978890,154
1675978891,150
1675978892,147
1675978893,142
1675978894,145
1675978895,148
1675978896,147
1675978897,149
1675978898,151
1675978899,149
1675978900,145
1675978901,146
1675978902,148
1675978903,147
1675978904,150
1675978905,166
1675978906,161
1675978907,161
1675978908,158
1675978909,159
1675978910,157
1675978911,153
1675978912,145
1675978913,142
1675978914,143
1675978915,145
1675978916,143
1675978917,140
1675978918,140
1675978919,141
1675978920,141
1675978921,140
1675978922,140
1675978923,139
1675978924,141
1675978925,144
1675978926,141
1675978927,140
1675978928,139
1675978929,133
1675978930,132
1675978931,134
1675978932,129
1675978933,133
1675978934,131
1675978935,135
1675978936,136
1675978937,141
1675978938,143
1675978939,145
1675978940,141
1675978941,141
1675978942,141
1675978943,140
1675978944,142
1675978945,143
1675978946,145
