time,FPS
1680296411,109
1680296412,109
1680296413,108
1680296414,109
1680296415,111
1680296416,111
1680296417,110
1680296418,110
1680296419,110
1680296420,111
1680296421,110
1680296422,110
1680296423,110
1680296424,109
1680296425,114
1680296426,119
1680296427,120
1680296428,118
1680296429,106
1680296430,109
1680296431,113
1680296432,106
1680296433,103
1680296434,102
1680296435,105
1680296436,106
1680296437,104
1680296438,98
1680296439,98
1680296440,98
1680296441,100
1680296442,100
1680296443,102
1680296444,101
1680296445,101
1680296446,108
1680296447,107
1680296448,106
1680296449,105
1680296450,106
1680296451,109
1680296452,110
1680296453,109
1680296454,112
1680296455,113
1680296456,108
1680296457,106
1680296458,101
1680296459,100
1680296460,103
1680296461,103
1680296462,104
1680296463,102
1680296464,104
1680296465,102
1680296466,104
1680296467,103
1680296468,105
1680296469,108
1680296470,107
1680296471,106
1680296472,99
1680296473,98
1680296474,98
1680296475,98
1680296476,100
1680296477,102
1680296478,102
1680296479,101
1680296480,102
1680296481,106
1680296482,104
1680296483,104
1680296484,103
1680296485,103
1680296486,104
1680296487,105
1680296488,106
1680296489,107
1680296490,107
1680296491,104
1680296492,102
1680296493,97
1680296494,95
1680296495,96
1680296496,96
1680296497,96
1680296498,98
1680296499,99
1680296500,99
1680296501,94
1680296502,95
1680296503,95
1680296504,96
1680296505,96
1680296506,104
1680296507,107
1680296508,106
1680296509,105
1680296510,104
1680296511,103
1680296512,101
1680296513,95
1680296514,95
1680296515,95
1680296516,96
1680296517,95
1680296518,94
1680296519,92
1680296520,93
1680296521,93
1680296522,91
1680296523,90
1680296524,93
1680296525,94
1680296526,97
1680296527,96
1680296528,96
1680296529,94
1680296530,91
1680296531,90
1680296532,91
1680296533,91
1680296534,91
1680296535,92
1680296536,94
1680296537,99
1680296538,102
1680296539,104
1680296540,104
1680296541,97
1680296542,93
1680296543,93
1680296544,94
1680296545,95
1680296546,96
