time,FPS
1680627914,89
1680627915,89
1680627916,89
1680627917,89
1680627918,91
1680627919,90
1680627920,88
1680627921,88
1680627922,88
1680627923,89
1680627924,88
1680627925,89
1680627926,87
1680627927,89
1680627928,88
1680627929,92
1680627930,96
1680627931,93
1680627932,92
1680627933,84
1680627934,87
1680627935,90
1680627936,83
1680627937,80
1680627938,81
1680627939,83
1680627940,83
1680627941,81
1680627942,78
1680627943,77
1680627944,79
1680627945,80
1680627946,82
1680627947,83
1680627948,81
1680627949,83
1680627950,85
1680627951,83
1680627952,82
1680627953,81
1680627954,82
1680627955,86
1680627956,87
1680627957,87
1680627958,89
1680627959,88
1680627960,85
1680627961,84
1680627962,79
1680627963,79
1680627964,81
1680627965,81
1680627966,80
1680627967,81
1680627968,82
1680627969,81
1680627970,82
1680627971,81
1680627972,81
1680627973,84
1680627974,83
1680627975,81
1680627976,77
1680627977,78
1680627978,77
1680627979,78
1680627980,80
1680627981,80
1680627982,81
1680627983,80
1680627984,82
1680627985,84
1680627986,83
1680627987,82
1680627988,81
1680627989,81
1680627990,83
1680627991,81
1680627992,81
1680627993,80
1680627994,84
1680627995,85
1680627996,82
1680627997,78
1680627998,79
1680627999,76
1680628000,75
1680628001,75
1680628002,75
1680628003,75
1680628004,76
1680628005,77
1680628006,77
1680628007,78
1680628008,76
1680628009,74
1680628010,74
1680628011,75
1680628012,76
1680628013,79
1680628014,87
1680628015,83
1680628016,84
1680628017,83
1680628018,82
1680628019,80
1680628020,78
1680628021,75
1680628022,74
1680628023,75
1680628024,76
1680628025,74
1680628026,73
1680628027,74
1680628028,73
1680628029,74
1680628030,72
1680628031,72
1680628032,73
1680628033,76
1680628034,78
1680628035,76
1680628036,76
1680628037,74
1680628038,71
1680628039,72
1680628040,72
1680628041,70
1680628042,72
1680628043,72
1680628044,75
1680628045,77
1680628046,81
1680628047,81
1680628048,84
1680628049,75
1680628050,77
1680628051,75
1680628052,77
1680628053,65
