time,FPS
1677203468,160
1677203469,160
1677203470,160
1677203471,159
1677203472,161
1677203473,162
1677203474,163
1677203475,161
1677203476,162
1677203477,162
1677203478,163
1677203479,159
1677203480,160
1677203481,159
1677203482,166
1677203483,170
1677203484,173
1677203485,176
1677203486,161
1677203487,152
1677203488,160
1677203489,154
1677203490,147
1677203491,145
1677203492,151
1677203493,155
1677203494,156
1677203495,146
1677203496,146
1677203497,145
1677203498,149
1677203499,148
1677203500,149
1677203501,151
1677203502,150
1677203503,160
1677203504,158
1677203505,153
1677203506,154
1677203507,152
1677203508,162
1677203509,165
1677203510,163
1677203511,165
1677203512,165
1677203513,158
1677203514,156
1677203515,149
1677203516,147
1677203517,153
1677203518,151
1677203519,153
1677203520,152
1677203521,154
1677203522,151
1677203523,153
1677203524,155
1677203525,156
1677203526,163
1677203527,159
1677203528,160
1677203529,154
1677203530,149
1677203531,151
1677203532,151
1677203533,154
1677203534,155
1677203535,156
1677203536,153
1677203537,155
1677203538,163
1677203539,160
1677203540,160
1677203541,158
1677203542,159
1677203543,158
1677203544,158
1677203545,160
1677203546,162
1677203547,170
1677203548,161
1677203549,156
1677203550,151
1677203551,146
1677203552,145
1677203553,146
1677203554,148
1677203555,149
1677203556,150
1677203557,150
1677203558,147
1677203559,146
1677203560,146
1677203561,148
1677203562,147
1677203563,148
1677203564,160
1677203565,167
1677203566,165
1677203567,163
1677203568,164
1677203569,162
1677203570,148
1677203571,144
1677203572,143
1677203573,147
1677203574,147
1677203575,145
1677203576,143
1677203577,140
1677203578,141
1677203579,139
1677203580,138
1677203581,139
1677203582,141
1677203583,143
1677203584,143
1677203585,140
1677203586,142
1677203587,136
1677203588,132
1677203589,133
1677203590,134
1677203591,132
1677203592,134
1677203593,134
1677203594,136
1677203595,140
1677203596,143
1677203597,146
1677203598,147
1677203599,137
1677203600,141
1677203601,142
1677203602,144
1677203603,143
1677203604,143
1677203605,144
1677203606,143
1677203607,144
