time,FPS
1675203202,157
1675203203,158
1675203204,158
1675203205,157
1675203206,158
1675203207,160
1675203208,160
1675203209,162
1675203210,160
1675203211,161
1675203212,160
1675203213,160
1675203214,158
1675203215,161
1675203216,164
1675203217,165
1675203218,165
1675203219,166
1675203220,156
1675203221,140
1675203222,137
1675203223,138
1675203224,137
1675203225,134
1675203226,137
1675203227,139
1675203228,143
1675203229,143
1675203230,144
1675203231,145
1675203232,146
1675203233,144
1675203234,144
1675203235,149
1675203236,147
1675203237,152
1675203238,156
1675203239,158
1675203240,153
1675203241,151
1675203242,159
1675203243,165
1675203244,163
1675203245,157
1675203246,158
1675203247,160
1675203248,155
1675203249,152
1675203250,148
1675203251,150
1675203252,149
1675203253,150
1675203254,148
1675203255,150
1675203256,150
1675203257,152
1675203258,151
1675203259,151
1675203260,151
1675203261,150
1675203262,156
1675203263,155
1675203264,150
1675203265,149
1675203266,146
1675203267,150
1675203268,152
1675203269,151
1675203270,155
1675203271,152
1675203272,157
1675203273,157
1675203274,155
1675203275,157
1675203276,157
1675203277,156
1675203278,151
1675203279,157
1675203280,158
1675203281,164
1675203282,165
1675203283,162
1675203284,158
1675203285,152
1675203286,148
1675203287,147
1675203288,148
1675203289,149
1675203290,149
1675203291,151
1675203292,148
1675203293,145
1675203294,147
1675203295,149
1675203296,148
1675203297,149
1675203298,159
1675203299,157
1675203300,159
1675203301,151
1675203302,157
1675203303,158
1675203304,154
1675203305,145
1675203306,144
1675203307,145
1675203308,148
1675203309,148
1675203310,147
1675203311,140
1675203312,143
1675203313,142
1675203314,141
1675203315,139
1675203316,140
1675203317,143
1675203318,144
1675203319,143
1675203320,141
1675203321,140
1675203322,135
1675203323,134
1675203324,134
1675203325,131
1675203326,130
1675203327,130
1675203328,131
1675203329,138
1675203330,141
1675203331,143
1675203332,144
