time,FPS
1680109889,199
1680109890,199
1680109891,199
1680109892,200
1680109893,202
1680109894,202
1680109895,201
1680109896,203
1680109897,200
1680109898,200
1680109899,200
1680109900,201
1680109901,203
1680109902,205
1680109903,199
1680109904,198
1680109905,192
1680109906,175
1680109907,174
1680109908,174
1680109909,170
1680109910,168
1680109911,175
1680109912,180
1680109913,177
1680109914,183
1680109915,178
1680109916,180
1680109917,183
1680109918,175
1680109919,182
1680109920,189
1680109921,190
1680109922,190
1680109923,196
1680109924,197
1680109925,194
1680109926,193
1680109927,197
1680109928,202
1680109929,204
1680109930,190
1680109931,201
1680109932,201
1680109933,199
1680109934,197
1680109935,188
1680109936,189
1680109937,191
1680109938,178
1680109939,187
1680109940,182
1680109941,181
1680109942,186
1680109943,183
1680109944,183
1680109945,187
1680109946,187
1680109947,192
1680109948,192
1680109949,181
1680109950,187
1680109951,191
1680109952,184
1680109953,192
1680109954,194
1680109955,193
1680109956,186
1680109957,196
1680109958,194
1680109959,190
1680109960,196
1680109961,198
1680109962,199
1680109963,196
1680109964,194
1680109965,196
1680109966,198
1680109967,202
1680109968,200
1680109969,194
1680109970,190
1680109971,192
1680109972,187
1680109973,182
1680109974,182
1680109975,188
1680109976,185
1680109977,187
1680109978,183
1680109979,178
1680109980,181
1680109981,180
1680109982,180
1680109983,184
1680109984,200
1680109985,201
1680109986,188
1680109987,197
1680109988,199
1680109989,197
1680109990,178
1680109991,175
1680109992,173
1680109993,181
1680109994,180
1680109995,180
1680109996,169
1680109997,175
1680109998,174
1680109999,172
1680110000,172
1680110001,171
1680110002,174
1680110003,180
1680110004,176
1680110005,172
1680110006,176
1680110007,170
1680110008,171
1680110009,169
1680110010,166
1680110011,166
1680110012,161
1680110013,171
1680110014,169
1680110015,177
1680110016,175
1680110017,180
1680110018,169
1680110019,166
1680110020,170
1680110021,173
1680110022,175
1680110023,175
