time,FPS
1675716673,159
1675716674,159
1675716675,159
1675716676,159
1675716677,156
1675716678,162
1675716679,163
1675716680,162
1675716681,163
1675716682,162
1675716683,162
1675716684,161
1675716685,160
1675716686,163
1675716687,167
1675716688,163
1675716689,166
1675716690,160
1675716691,143
1675716692,139
1675716693,138
1675716694,140
1675716695,133
1675716696,132
1675716697,135
1675716698,142
1675716699,147
1675716700,145
1675716701,142
1675716702,146
1675716703,145
1675716704,146
1675716705,144
1675716706,148
1675716707,147
1675716708,156
1675716709,159
1675716710,158
1675716711,153
1675716712,154
1675716713,159
1675716714,162
1675716715,162
1675716716,162
1675716717,164
1675716718,160
1675716719,157
1675716720,151
1675716721,147
1675716722,153
1675716723,149
1675716724,150
1675716725,146
1675716726,150
1675716727,153
1675716728,151
1675716729,150
1675716730,150
1675716731,151
1675716732,156
1675716733,160
1675716734,150
1675716735,148
1675716736,150
1675716737,146
1675716738,151
1675716739,153
1675716740,153
1675716741,149
1675716742,149
1675716743,158
1675716744,156
1675716745,153
1675716746,155
1675716747,157
1675716748,156
1675716749,155
1675716750,165
1675716751,159
1675716752,159
1675716753,155
1675716754,152
1675716755,146
1675716756,146
1675716757,146
1675716758,146
1675716759,149
1675716760,149
1675716761,153
1675716762,152
1675716763,148
1675716764,146
1675716765,148
1675716766,149
1675716767,148
1675716768,151
1675716769,162
1675716770,157
1675716771,160
1675716772,146
1675716773,158
1675716774,152
1675716775,152
1675716776,144
1675716777,142
1675716778,145
1675716779,148
1675716780,147
1675716781,145
1675716782,143
1675716783,144
1675716784,142
1675716785,141
1675716786,138
1675716787,140
1675716788,143
1675716789,146
1675716790,142
1675716791,141
1675716792,140
1675716793,134
1675716794,134
1675716795,135
1675716796,125
1675716797,126
1675716798,127
1675716799,128
1675716800,133
1675716801,136
1675716802,139
1675716803,138
