time,FPS
1677883294,46
1677883295,109
1677883296,109
1677883297,105
1677883298,105
1677883299,108
1677883300,113
1677883301,107
1677883302,111
1677883303,113
1677883304,109
1677883305,110
1677883306,115
1677883307,118
1677883308,115
1677883309,111
1677883310,113
1677883311,109
1677883312,98
1677883313,94
1677883314,101
1677883315,98
1677883316,99
1677883317,94
1677883318,98
1677883319,98
1677883320,100
1677883321,102
1677883322,106
1677883323,103
1677883324,104
1677883325,99
1677883326,66
1677883327,100
1677883328,104
1677883329,109
1677883330,107
1677883331,111
1677883332,109
1677883333,113
1677883334,110
1677883335,102
1677883336,106
1677883337,93
1677883338,108
1677883339,104
1677883340,101
1677883341,107
1677883342,101
1677883343,97
1677883344,100
1677883345,99
1677883346,98
1677883347,95
1677883348,97
1677883349,96
1677883350,102
1677883351,103
1677883352,98
1677883353,104
1677883354,100
1677883355,105
1677883356,100
1677883357,113
1677883358,115
1677883359,127
1677883360,120
1677883361,130
1677883362,118
1677883363,121
1677883364,123
1677883365,117
1677883366,119
1677883367,125
1677883368,131
1677883369,124
1677883370,127
1677883371,114
1677883372,115
1677883373,125
1677883374,125
1677883375,122
1677883376,121
1677883377,117
1677883378,126
1677883379,117
1677883380,128
1677883381,129
1677883382,133
1677883383,123
1677883384,138
1677883385,129
1677883386,123
1677883387,126
1677883388,136
1677883389,126
1677883390,134
1677883391,140
1677883392,120
1677883393,117
1677883394,118
1677883395,126
1677883396,123
1677883397,129
1677883398,120
1677883399,118
1677883400,123
1677883401,120
1677883402,123
1677883403,123
1677883404,114
1677883405,117
1677883406,120
1677883407,117
1677883408,128
1677883409,122
1677883410,124
1677883411,125
1677883412,126
1677883413,130
1677883414,132
1677883415,126
1677883416,125
1677883417,120
1677883418,123
1677883419,124
1677883420,127
1677883421,121
1677883422,124
1677883423,128
1677883424,126
1677883425,135
1677883426,128
1677883427,122
1677883428,127
1677883429,127
1677883430,126
1677883431,17
