time,FPS
1675707721,160
1675707722,161
1675707723,160
1675707724,159
1675707725,158
1675707726,162
1675707727,163
1675707728,160
1675707729,163
1675707730,163
1675707731,162
1675707732,162
1675707733,157
1675707734,162
1675707735,165
1675707736,169
1675707737,172
1675707738,176
1675707739,163
1675707740,152
1675707741,159
1675707742,157
1675707743,148
1675707744,145
1675707745,152
1675707746,154
1675707747,156
1675707748,147
1675707749,146
1675707750,147
1675707751,149
1675707752,149
1675707753,148
1675707754,151
1675707755,149
1675707756,158
1675707757,159
1675707758,156
1675707759,153
1675707760,150
1675707761,163
1675707762,165
1675707763,165
1675707764,163
1675707765,163
1675707766,158
1675707767,155
1675707768,150
1675707769,146
1675707770,152
1675707771,151
1675707772,152
1675707773,151
1675707774,153
1675707775,156
1675707776,154
1675707777,156
1675707778,153
1675707779,160
1675707780,156
1675707781,157
1675707782,153
1675707783,149
1675707784,149
1675707785,148
1675707786,152
1675707787,155
1675707788,156
1675707789,154
1675707790,155
1675707791,159
1675707792,159
1675707793,155
1675707794,155
1675707795,159
1675707796,160
1675707797,159
1675707798,158
1675707799,155
1675707800,158
1675707801,158
1675707802,163
1675707803,152
1675707804,149
1675707805,146
1675707806,145
1675707807,147
1675707808,146
1675707809,148
1675707810,150
1675707811,152
1675707812,152
1675707813,150
1675707814,145
1675707815,146
1675707816,148
1675707817,147
1675707818,149
1675707819,165
1675707820,158
1675707821,157
1675707822,158
1675707823,152
1675707824,158
1675707825,153
1675707826,145
1675707827,142
1675707828,144
1675707829,148
1675707830,147
1675707831,145
1675707832,143
1675707833,142
1675707834,142
1675707835,140
1675707836,140
1675707837,139
1675707838,140
1675707839,145
1675707840,142
1675707841,141
1675707842,140
1675707843,134
1675707844,133
1675707845,134
1675707846,133
1675707847,133
1675707848,135
1675707849,136
1675707850,138
1675707851,141
1675707852,144
1675707853,145
1675707854,142
1675707855,140
1675707856,137
1675707857,145
1675707858,138
1675707859,141
