time,FPS
1675902878,160
1675902879,160
1675902880,160
1675902881,159
1675902882,162
1675902883,163
1675902884,162
1675902885,161
1675902886,164
1675902887,163
1675902888,161
1675902889,162
1675902890,160
1675902891,162
1675902892,167
1675902893,170
1675902894,173
1675902895,178
1675902896,156
1675902897,152
1675902898,160
1675902899,151
1675902900,146
1675902901,146
1675902902,149
1675902903,153
1675902904,154
1675902905,146
1675902906,145
1675902907,146
1675902908,146
1675902909,148
1675902910,148
1675902911,149
1675902912,152
1675902913,160
1675902914,155
1675902915,154
1675902916,152
1675902917,153
1675902918,163
1675902919,165
1675902920,156
1675902921,166
1675902922,164
1675902923,158
1675902924,152
1675902925,148
1675902926,147
1675902927,153
1675902928,150
1675902929,152
1675902930,152
1675902931,157
1675902932,151
1675902933,157
1675902934,155
1675902935,158
1675902936,161
1675902937,158
1675902938,158
1675902939,152
1675902940,151
1675902941,151
1675902942,150
1675902943,154
1675902944,156
1675902945,157
1675902946,153
1675902947,158
1675902948,163
1675902949,162
1675902950,160
1675902951,157
1675902952,159
1675902953,161
1675902954,160
1675902955,161
1675902956,158
1675902957,163
1675902958,162
1675902959,158
1675902960,152
1675902961,148
1675902962,146
1675902963,146
1675902964,146
1675902965,146
1675902966,146
1675902967,148
1675902968,149
1675902969,149
1675902970,152
1675902971,147
1675902972,146
1675902973,147
1675902974,148
1675902975,148
1675902976,160
1675902977,167
1675902978,160
1675902979,161
1675902980,160
1675902981,157
1675902982,159
1675902983,146
1675902984,142
1675902985,140
1675902986,144
1675902987,148
1675902988,145
1675902989,143
1675902990,142
1675902991,142
1675902992,139
1675902993,139
1675902994,139
1675902995,140
1675902996,142
1675902997,143
1675902998,139
1675902999,140
1675903000,136
1675903001,132
1675903002,133
1675903003,134
1675903004,132
1675903005,133
1675903006,134
1675903007,136
1675903008,137
1675903009,139
1675903010,142
1675903011,143
1675903012,137
1675903013,141
1675903014,141
1675903015,141
