time,FPS
1677703977,145
1677703978,146
1677703979,145
1677703980,143
1677703981,147
1677703982,148
1677703983,148
1677703984,147
1677703985,147
1677703986,147
1677703987,147
1677703988,147
1677703989,144
1677703990,146
1677703991,146
1677703992,150
1677703993,154
1677703994,156
1677703995,147
1677703996,135
1677703997,140
1677703998,140
1677703999,132
1677704000,134
1677704001,136
1677704002,136
1677704003,137
1677704004,132
1677704005,127
1677704006,124
1677704007,129
1677704008,129
1677704009,131
1677704010,134
1677704011,129
1677704012,135
1677704013,135
1677704014,135
1677704015,126
1677704016,137
1677704017,142
1677704018,143
1677704019,144
1677704020,147
1677704021,147
1677704022,147
1677704023,140
1677704024,138
1677704025,130
1677704026,131
1677704027,131
1677704028,136
1677704029,129
1677704030,124
1677704031,131
1677704032,131
1677704033,134
1677704034,132
1677704035,132
1677704036,140
1677704037,137
1677704038,134
1677704039,130
1677704040,131
1677704041,131
1677704042,132
1677704043,134
1677704044,128
1677704045,135
1677704046,134
1677704047,136
1677704048,136
1677704049,133
1677704050,133
1677704051,133
1677704052,135
1677704053,136
1677704054,129
1677704055,137
1677704056,135
1677704057,128
1677704058,136
1677704059,132
1677704060,133
1677704061,131
1677704062,128
1677704063,129
1677704064,130
1677704065,132
1677704066,132
1677704067,133
1677704068,131
1677704069,123
1677704070,127
1677704071,127
1677704072,129
1677704073,130
1677704074,139
1677704075,137
1677704076,137
1677704077,129
1677704078,133
1677704079,132
1677704080,129
1677704081,128
1677704082,126
1677704083,124
1677704084,126
1677704085,125
1677704086,123
1677704087,118
1677704088,122
1677704089,123
1677704090,119
1677704091,117
1677704092,118
1677704093,119
1677704094,125
1677704095,126
1677704096,123
1677704097,126
1677704098,122
1677704099,120
1677704100,121
