time,FPS
1677712764,58
1677712765,59
1677712766,58
1677712767,59
1677712768,56
1677712769,60
1677712770,61
1677712771,60
1677712772,60
1677712773,60
1677712774,59
1677712775,59
1677712776,59
1677712777,58
1677712778,58
1677712779,63
1677712780,63
1677712781,66
1677712782,59
1677712783,55
1677712784,58
1677712785,56
1677712786,55
1677712787,53
1677712788,54
1677712789,56
1677712790,55
1677712791,51
1677712792,52
1677712793,51
1677712794,51
1677712795,52
1677712796,55
1677712797,54
1677712798,53
1677712799,55
1677712800,56
1677712801,55
1677712802,54
1677712803,56
1677712804,57
1677712805,57
1677712806,58
1677712807,59
1677712808,59
1677712809,58
1677712810,56
1677712811,54
1677712812,52
1677712813,52
1677712814,53
1677712815,54
1677712816,50
1677712817,51
1677712818,51
1677712819,51
1677712820,49
1677712821,52
1677712822,54
1677712823,54
1677712824,53
1677712825,51
1677712826,50
1677712827,52
1677712828,51
1677712829,53
1677712830,52
1677712831,52
1677712832,53
1677712833,52
1677712834,53
1677712835,53
1677712836,53
1677712837,53
1677712838,52
1677712839,52
1677712840,52
1677712841,53
1677712842,53
1677712843,53
1677712844,52
1677712845,50
1677712846,49
1677712847,48
1677712848,47
1677712849,47
1677712850,48
1677712851,49
1677712852,49
1677712853,50
1677712854,49
1677712855,48
1677712856,47
1677712857,47
1677712858,49
1677712859,49
1677712860,55
1677712861,54
1677712862,54
1677712863,52
1677712864,53
1677712865,51
1677712866,52
1677712867,50
1677712868,49
1677712869,49
1677712870,49
1677712871,49
1677712872,46
1677712873,47
1677712874,48
1677712875,48
1677712876,47
1677712877,47
1677712878,48
1677712879,48
1677712880,51
1677712881,52
1677712882,50
1677712883,51
1677712884,50
1677712885,48
1677712886,48
1677712887,49
1677712888,48
1677712889,48
1677712890,49
1677712891,52
1677712892,53
1677712893,55
