time,FPS
1675734522,160
1675734523,161
1675734524,160
1675734525,161
1675734526,162
1675734527,163
1675734528,166
1675734529,164
1675734530,162
1675734531,167
1675734532,166
1675734533,164
1675734534,160
1675734535,162
1675734536,168
1675734537,170
1675734538,171
1675734539,173
1675734540,158
1675734541,154
1675734542,160
1675734543,154
1675734544,149
1675734545,144
1675734546,152
1675734547,156
1675734548,156
1675734549,149
1675734550,149
1675734551,145
1675734552,147
1675734553,149
1675734554,152
1675734555,152
1675734556,150
1675734557,158
1675734558,158
1675734559,157
1675734560,149
1675734561,154
1675734562,163
1675734563,165
1675734564,164
1675734565,165
1675734566,164
1675734567,159
1675734568,151
1675734569,150
1675734570,148
1675734571,154
1675734572,153
1675734573,155
1675734574,154
1675734575,157
1675734576,158
1675734577,155
1675734578,155
1675734579,157
1675734580,158
1675734581,161
1675734582,160
1675734583,154
1675734584,148
1675734585,151
1675734586,149
1675734587,153
1675734588,154
1675734589,154
1675734590,153
1675734591,152
1675734592,162
1675734593,159
1675734594,158
1675734595,158
1675734596,158
1675734597,158
1675734598,156
1675734599,159
1675734600,158
1675734601,165
1675734602,160
1675734603,162
1675734604,157
1675734605,156
1675734606,152
1675734607,149
1675734608,151
1675734609,151
1675734610,153
1675734611,152
1675734612,148
1675734613,147
1675734614,146
1675734615,148
1675734616,149
1675734617,155
1675734618,168
1675734619,161
1675734620,157
1675734621,160
1675734622,157
1675734623,158
1675734624,150
1675734625,144
1675734626,143
1675734627,147
1675734628,149
1675734629,147
1675734630,143
1675734631,143
1675734632,143
1675734633,141
1675734634,141
1675734635,139
1675734636,141
1675734637,143
1675734638,146
1675734639,140
1675734640,142
1675734641,137
1675734642,134
1675734643,133
1675734644,134
1675734645,130
1675734646,129
1675734647,127
1675734648,135
1675734649,138
1675734650,141
1675734651,142
1675734652,143
1675734653,134
1675734654,141
