time,FPS
1680121166,182
1680121167,182
1680121168,183
1680121169,187
1680121170,189
1680121171,189
1680121172,186
1680121173,186
1680121174,184
1680121175,185
1680121176,186
1680121177,190
1680121178,198
1680121179,203
1680121180,193
1680121181,190
1680121182,182
1680121183,161
1680121184,155
1680121185,159
1680121186,161
1680121187,153
1680121188,155
1680121189,161
1680121190,170
1680121191,173
1680121192,167
1680121193,168
1680121194,169
1680121195,170
1680121196,160
1680121197,167
1680121198,177
1680121199,178
1680121200,183
1680121201,188
1680121202,188
1680121203,187
1680121204,190
1680121205,196
1680121206,197
1680121207,195
1680121208,175
1680121209,189
1680121210,194
1680121211,188
1680121212,186
1680121213,185
1680121214,182
1680121215,168
1680121216,174
1680121217,172
1680121218,173
1680121219,178
1680121220,177
1680121221,174
1680121222,170
1680121223,175
1680121224,184
1680121225,191
1680121226,183
1680121227,184
1680121228,184
1680121229,189
1680121230,191
1680121231,193
1680121232,192
1680121233,192
1680121234,186
1680121235,191
1680121236,193
1680121237,190
1680121238,191
1680121239,193
1680121240,187
1680121241,185
1680121242,195
1680121243,189
1680121244,197
1680121245,197
1680121246,193
1680121247,190
1680121248,189
1680121249,179
1680121250,181
1680121251,185
1680121252,185
1680121253,187
1680121254,188
1680121255,176
1680121256,180
1680121257,179
1680121258,184
1680121259,180
1680121260,182
1680121261,183
1680121262,182
1680121263,174
1680121264,193
1680121265,191
1680121266,190
1680121267,180
1680121268,177
1680121269,175
1680121270,177
1680121271,182
1680121272,176
1680121273,173
1680121274,175
1680121275,175
1680121276,172
1680121277,173
1680121278,172
1680121279,171
1680121280,179
1680121281,181
1680121282,173
1680121283,177
1680121284,173
1680121285,171
1680121286,170
1680121287,172
1680121288,166
1680121289,167
1680121290,164
1680121291,168
1680121292,173
1680121293,176
1680121294,172
1680121295,174
1680121296,163
1680121297,168
1680121298,169
1680121299,170
