time,FPS
1675824148,51
1675824149,52
1675824150,52
1675824151,52
1675824152,52
1675824153,53
1675824154,52
1675824155,53
1675824156,52
1675824157,53
1675824158,52
1675824159,52
1675824160,52
1675824161,51
1675824162,53
1675824163,55
1675824164,56
1675824165,55
1675824166,49
1675824167,51
1675824168,52
1675824169,49
1675824170,47
1675824171,47
1675824172,50
1675824173,50
1675824174,47
1675824175,46
1675824176,47
1675824177,47
1675824178,49
1675824179,48
1675824180,49
1675824181,48
1675824182,49
1675824183,52
1675824184,51
1675824185,49
1675824186,49
1675824187,49
1675824188,52
1675824189,52
1675824190,52
1675824191,53
1675824192,52
1675824193,51
1675824194,49
1675824195,47
1675824196,47
1675824197,49
1675824198,49
1675824199,48
1675824200,49
1675824201,50
1675824202,48
1675824203,49
1675824204,48
1675824205,49
1675824206,51
1675824207,49
1675824208,50
1675824209,46
1675824210,47
1675824211,46
1675824212,46
1675824213,47
1675824214,48
1675824215,49
1675824216,47
1675824217,49
1675824218,50
1675824219,50
1675824220,49
1675824221,49
1675824222,49
1675824223,50
1675824224,49
1675824225,49
1675824226,49
1675824227,50
1675824228,48
1675824229,47
1675824230,46
1675824231,45
1675824232,45
1675824233,45
1675824234,45
1675824235,46
1675824236,46
1675824237,47
1675824238,46
1675824239,45
1675824240,46
1675824241,45
1675824242,46
1675824243,46
1675824244,52
1675824245,50
1675824246,49
1675824247,49
1675824248,49
1675824249,49
1675824250,48
1675824251,48
1675824252,45
1675824253,44
1675824254,43
1675824255,45
1675824256,45
1675824257,44
1675824258,43
1675824259,43
1675824260,44
1675824261,43
1675824262,43
1675824263,44
1675824264,44
1675824265,46
1675824266,46
1675824267,44
1675824268,44
1675824269,42
1675824270,41
1675824271,42
1675824272,42
1675824273,42
1675824274,42
1675824275,44
1675824276,44
1675824277,46
1675824278,47
