time,FPS
1674682143,97
1674682144,98
1674682145,97
1674682146,96
1674682147,99
1674682148,99
1674682149,97
1674682150,97
1674682151,96
1674682152,97
1674682153,97
1674682154,98
1674682155,95
1674682156,98
1674682157,96
1674682158,101
1674682159,105
1674682160,105
1674682161,107
1674682162,91
1674682163,93
1674682164,98
1674682165,90
1674682166,89
1674682167,88
1674682168,92
1674682169,92
1674682170,91
1674682171,86
1674682172,84
1674682173,84
1674682174,86
1674682175,85
1674682176,88
1674682177,88
1674682178,86
1674682179,91
1674682180,90
1674682181,88
1674682182,89
1674682183,89
1674682184,94
1674682185,94
1674682186,95
1674682187,97
1674682188,98
1674682189,95
1674682190,92
1674682191,89
1674682192,84
1674682193,86
1674682194,86
1674682195,90
1674682196,83
1674682197,87
1674682198,86
1674682199,87
1674682200,88
1674682201,87
1674682202,91
1674682203,91
1674682204,89
1674682205,85
1674682206,84
1674682207,85
1674682208,85
1674682209,87
1674682210,88
1674682211,89
1674682212,87
1674682213,87
1674682214,90
1674682215,90
1674682216,88
1674682217,88
1674682218,89
1674682219,88
1674682220,87
1674682221,85
1674682222,85
1674682223,84
1674682224,86
1674682225,86
1674682226,91
1674682227,88
1674682228,86
1674682229,82
1674682230,81
1674682231,82
1674682232,81
1674682233,81
1674682234,83
1674682235,84
1674682236,86
1674682237,85
1674682238,81
1674682239,81
1674682240,82
1674682241,82
1674682242,84
1674682243,92
1674682244,92
1674682245,91
1674682246,91
1674682247,91
1674682248,92
1674682249,90
1674682250,88
1674682251,87
1674682252,84
1674682253,84
1674682254,81
1674682255,84
1674682256,84
1674682257,82
1674682258,81
1674682259,82
1674682260,82
1674682261,81
1674682262,81
1674682263,80
1674682264,82
1674682265,84
1674682266,87
1674682267,86
1674682268,85
1674682269,83
1674682270,82
1674682271,80
1674682272,82
1674682273,81
1674682274,82
1674682275,82
1674682276,85
