time,FPS
1679078705,160
1679078706,160
1679078707,160
1679078708,159
1679078709,161
1679078710,164
1679078711,159
1679078712,163
1679078713,163
1679078714,163
1679078715,164
1679078716,161
1679078717,159
1679078718,164
1679078719,170
1679078720,171
1679078721,173
1679078722,169
1679078723,154
1679078724,156
1679078725,160
1679078726,151
1679078727,143
1679078728,149
1679078729,156
1679078730,157
1679078731,150
1679078732,147
1679078733,146
1679078734,146
1679078735,146
1679078736,147
1679078737,151
1679078738,147
1679078739,155
1679078740,158
1679078741,156
1679078742,155
1679078743,154
1679078744,153
1679078745,164
1679078746,165
1679078747,163
1679078748,165
1679078749,163
1679078750,158
1679078751,150
1679078752,149
1679078753,150
1679078754,154
1679078755,153
1679078756,152
1679078757,155
1679078758,158
1679078759,157
1679078760,155
1679078761,156
1679078762,159
1679078763,164
1679078764,158
1679078765,160
1679078766,152
1679078767,150
1679078768,151
1679078769,149
1679078770,153
1679078771,154
1679078772,154
1679078773,151
1679078774,159
1679078775,160
1679078776,159
1679078777,158
1679078778,158
1679078779,157
1679078780,156
1679078781,157
1679078782,159
1679078783,168
1679078784,167
1679078785,158
1679078786,149
1679078787,148
1679078788,147
1679078789,146
1679078790,148
1679078791,148
1679078792,149
1679078793,151
1679078794,151
1679078795,146
1679078796,144
1679078797,145
1679078798,149
1679078799,146
1679078800,151
1679078801,168
1679078802,161
1679078803,158
1679078804,160
1679078805,157
1679078806,159
1679078807,146
1679078808,145
1679078809,144
1679078810,149
1679078811,148
1679078812,147
1679078813,144
1679078814,144
1679078815,143
1679078816,141
1679078817,141
1679078818,141
1679078819,142
1679078820,145
1679078821,145
1679078822,141
1679078823,141
1679078824,136
1679078825,133
1679078826,135
1679078827,129
1679078828,125
1679078829,127
1679078830,127
1679078831,130
1679078832,134
1679078833,140
1679078834,139
1679078835,138
1679078836,136
1679078837,137
1679078838,139
1679078839,141
