time,FPS
1679957559,199
1679957560,198
1679957561,201
1679957562,201
1679957563,204
1679957564,206
1679957565,204
1679957566,204
1679957567,206
1679957568,205
1679957569,205
1679957570,203
1679957571,203
1679957572,205
1679957573,210
1679957574,211
1679957575,214
1679957576,212
1679957577,189
1679957578,183
1679957579,189
1679957580,174
1679957581,177
1679957582,183
1679957583,178
1679957584,185
1679957585,188
1679957586,183
1679957587,184
1679957588,184
1679957589,181
1679957590,185
1679957591,189
1679957592,190
1679957593,189
1679957594,197
1679957595,197
1679957596,195
1679957597,194
1679957598,198
1679957599,203
1679957600,194
1679957601,207
1679957602,205
1679957603,208
1679957604,201
1679957605,197
1679957606,188
1679957607,186
1679957608,191
1679957609,192
1679957610,192
1679957611,193
1679957612,186
1679957613,195
1679957614,192
1679957615,191
1679957616,193
1679957617,201
1679957618,196
1679957619,196
1679957620,186
1679957621,189
1679957622,183
1679957623,189
1679957624,190
1679957625,195
1679957626,197
1679957627,189
1679957628,196
1679957629,198
1679957630,196
1679957631,199
1679957632,194
1679957633,199
1679957634,192
1679957635,196
1679957636,196
1679957637,202
1679957638,206
1679957639,198
1679957640,193
1679957641,182
1679957642,184
1679957643,178
1679957644,184
1679957645,186
1679957646,183
1679957647,189
1679957648,189
1679957649,181
1679957650,182
1679957651,178
1679957652,185
1679957653,185
1679957654,187
1679957655,202
1679957656,204
1679957657,203
1679957658,203
1679957659,199
1679957660,199
1679957661,183
1679957662,182
1679957663,180
1679957664,181
1679957665,182
1679957666,181
1679957667,172
1679957668,177
1679957669,178
1679957670,175
1679957671,171
1679957672,173
1679957673,176
1679957674,180
1679957675,181
1679957676,174
1679957677,179
1679957678,172
1679957679,172
1679957680,173
1679957681,169
1679957682,168
1679957683,170
1679957684,171
1679957685,173
1679957686,178
1679957687,183
1679957688,184
1679957689,180
1679957690,171
1679957691,180
