time,FPS
1675900782,159
1675900783,160
1675900784,155
1675900785,159
1675900786,160
1675900787,163
1675900788,161
1675900789,160
1675900790,163
1675900791,164
1675900792,161
1675900793,165
1675900794,157
1675900795,158
1675900796,167
1675900797,169
1675900798,172
1675900799,172
1675900800,165
1675900801,154
1675900802,157
1675900803,158
1675900804,149
1675900805,145
1675900806,151
1675900807,156
1675900808,158
1675900809,149
1675900810,149
1675900811,147
1675900812,143
1675900813,148
1675900814,148
1675900815,153
1675900816,150
1675900817,157
1675900818,160
1675900819,157
1675900820,153
1675900821,154
1675900822,157
1675900823,163
1675900824,163
1675900825,164
1675900826,166
1675900827,157
1675900828,155
1675900829,149
1675900830,146
1675900831,152
1675900832,153
1675900833,154
1675900834,152
1675900835,154
1675900836,153
1675900837,151
1675900838,154
1675900839,151
1675900840,154
1675900841,159
1675900842,159
1675900843,153
1675900844,148
1675900845,149
1675900846,147
1675900847,148
1675900848,152
1675900849,152
1675900850,151
1675900851,151
1675900852,160
1675900853,156
1675900854,156
1675900855,158
1675900856,157
1675900857,161
1675900858,159
1675900859,159
1675900860,158
1675900861,157
1675900862,164
1675900863,161
1675900864,154
1675900865,154
1675900866,151
1675900867,150
1675900868,148
1675900869,149
1675900870,148
1675900871,151
1675900872,152
1675900873,152
1675900874,153
1675900875,149
1675900876,148
1675900877,149
1675900878,150
1675900879,150
1675900880,154
1675900881,170
1675900882,162
1675900883,160
1675900884,155
1675900885,158
1675900886,154
1675900887,154
1675900888,145
1675900889,143
1675900890,144
1675900891,148
1675900892,146
1675900893,142
1675900894,143
1675900895,143
1675900896,143
1675900897,142
1675900898,141
1675900899,141
1675900900,143
1675900901,146
1675900902,145
1675900903,142
1675900904,143
1675900905,138
1675900906,135
1675900907,137
1675900908,135
1675900909,132
1675900910,134
1675900911,134
1675900912,136
1675900913,140
1675900914,138
1675900915,141
