time,FPS
1680034413,223
1680034414,222
1680034415,222
1680034416,223
1680034417,225
1680034418,224
1680034419,225
1680034420,225
1680034421,223
1680034422,225
1680034423,225
1680034424,222
1680034425,223
1680034426,230
1680034427,228
1680034428,226
1680034429,223
1680034430,212
1680034431,202
1680034432,207
1680034433,206
1680034434,204
1680034435,201
1680034436,196
1680034437,202
1680034438,206
1680034439,205
1680034440,206
1680034441,206
1680034442,211
1680034443,211
1680034444,206
1680034445,208
1680034446,214
1680034447,209
1680034448,219
1680034449,223
1680034450,219
1680034451,218
1680034452,220
1680034453,226
1680034454,228
1680034455,221
1680034456,224
1680034457,223
1680034458,222
1680034459,221
1680034460,214
1680034461,217
1680034462,219
1680034463,217
1680034464,216
1680034465,220
1680034466,221
1680034467,223
1680034468,221
1680034469,221
1680034470,221
1680034471,223
1680034472,225
1680034473,223
1680034474,217
1680034475,221
1680034476,221
1680034477,221
1680034478,224
1680034479,223
1680034480,223
1680034481,222
1680034482,227
1680034483,229
1680034484,230
1680034485,226
1680034486,228
1680034487,227
1680034488,228
1680034489,227
1680034490,230
1680034491,233
1680034492,232
1680034493,225
1680034494,223
1680034495,217
1680034496,216
1680034497,218
1680034498,221
1680034499,220
1680034500,221
1680034501,224
1680034502,217
1680034503,214
1680034504,218
1680034505,219
1680034506,218
1680034507,220
1680034508,235
1680034509,232
1680034510,234
1680034511,234
1680034512,233
1680034513,231
1680034514,221
1680034515,215
1680034516,212
1680034517,215
1680034518,219
1680034519,216
1680034520,212
1680034521,211
1680034522,211
1680034523,208
1680034524,210
1680034525,208
1680034526,208
1680034527,212
1680034528,215
1680034529,206
1680034530,209
1680034531,203
1680034532,203
1680034533,197
1680034534,204
1680034535,190
1680034536,192
1680034537,192
1680034538,184
1680034539,196
1680034540,198
1680034541,202
1680034542,206
1680034543,196
1680034544,202
