time,FPS
1675359806,161
1675359807,160
1675359808,159
1675359809,159
1675359810,161
1675359811,161
1675359812,162
1675359813,163
1675359814,161
1675359815,162
1675359816,161
1675359817,158
1675359818,161
1675359819,161
1675359820,166
1675359821,170
1675359822,173
1675359823,173
1675359824,154
1675359825,153
1675359826,160
1675359827,149
1675359828,144
1675359829,144
1675359830,154
1675359831,154
1675359832,152
1675359833,145
1675359834,145
1675359835,147
1675359836,147
1675359837,149
1675359838,151
1675359839,149
1675359840,155
1675359841,159
1675359842,158
1675359843,153
1675359844,153
1675359845,156
1675359846,160
1675359847,161
1675359848,158
1675359849,165
1675359850,161
1675359851,154
1675359852,154
1675359853,148
1675359854,149
1675359855,152
1675359856,152
1675359857,153
1675359858,156
1675359859,155
1675359860,154
1675359861,156
1675359862,153
1675359863,156
1675359864,162
1675359865,158
1675359866,159
1675359867,151
1675359868,149
1675359869,148
1675359870,150
1675359871,155
1675359872,156
1675359873,157
1675359874,152
1675359875,161
1675359876,162
1675359877,160
1675359878,159
1675359879,157
1675359880,158
1675359881,158
1675359882,154
1675359883,162
1675359884,165
1675359885,162
1675359886,165
1675359887,157
1675359888,156
1675359889,152
1675359890,148
1675359891,147
1675359892,149
1675359893,150
1675359894,151
1675359895,152
1675359896,152
1675359897,148
1675359898,147
1675359899,147
1675359900,149
1675359901,146
1675359902,162
1675359903,166
1675359904,161
1675359905,162
1675359906,161
1675359907,159
1675359908,159
1675359909,148
1675359910,143
1675359911,143
1675359912,146
1675359913,149
1675359914,147
1675359915,143
1675359916,143
1675359917,143
1675359918,142
1675359919,141
1675359920,140
1675359921,142
1675359922,145
1675359923,146
1675359924,141
1675359925,143
1675359926,138
1675359927,134
1675359928,133
1675359929,134
1675359930,132
1675359931,134
1675359932,135
1675359933,136
1675359934,139
1675359935,143
1675359936,144
1675359937,145
1675359938,138
1675359939,140
1675359940,144
1675359941,145
1675359942,145
1675359943,145
