time,FPS
1678325311,140
1678325312,141
1678325313,140
1678325314,139
1678325315,143
1678325316,141
1678325317,142
1678325318,139
1678325319,142
1678325320,142
1678325321,141
1678325322,141
1678325323,142
1678325324,141
1678325325,150
1678325326,152
1678325327,155
1678325328,143
1678325329,130
1678325330,138
1678325331,130
1678325332,130
1678325333,129
1678325334,132
1678325335,130
1678325336,131
1678325337,122
1678325338,122
1678325339,123
1678325340,123
1678325341,126
1678325342,127
1678325343,129
1678325344,126
1678325345,131
1678325346,132
1678325347,131
1678325348,132
1678325349,136
1678325350,140
1678325351,136
1678325352,143
1678325353,145
1678325354,146
1678325355,139
1678325356,137
1678325357,132
1678325358,127
1678325359,132
1678325360,129
1678325361,131
1678325362,125
1678325363,125
1678325364,128
1678325365,128
1678325366,130
1678325367,126
1678325368,134
1678325369,133
1678325370,132
1678325371,126
1678325372,126
1678325373,125
1678325374,126
1678325375,129
1678325376,130
1678325377,131
1678325378,129
1678325379,127
1678325380,131
1678325381,130
1678325382,130
1678325383,129
1678325384,132
1678325385,132
1678325386,127
1678325387,131
1678325388,131
1678325389,130
1678325390,128
1678325391,127
1678325392,125
1678325393,123
1678325394,122
1678325395,121
1678325396,121
1678325397,124
1678325398,124
1678325399,128
1678325400,127
1678325401,123
1678325402,119
1678325403,119
1678325404,122
1678325405,122
1678325406,125
1678325407,133
1678325408,130
1678325409,131
1678325410,127
1678325411,128
1678325412,125
1678325413,124
1678325414,122
1678325415,120
1678325416,121
1678325417,122
1678325418,119
1678325419,116
1678325420,117
1678325421,118
1678325422,118
1678325423,115
1678325424,114
1678325425,116
1678325426,118
1678325427,123
1678325428,119
1678325429,121
1678325430,118
1678325431,116
1678325432,116
1678325433,117
1678325434,112
1678325435,117
1678325436,114
1678325437,123
1678325438,130
1678325439,134
1678325440,135
1678325441,136
1678325442,121
1678325443,118
1678325444,116
1678325445,118
1678325446,118
