time,FPS
1675106714,159
1675106715,158
1675106716,159
1675106717,159
1675106718,160
1675106719,162
1675106720,158
1675106721,162
1675106722,163
1675106723,161
1675106724,161
1675106725,159
1675106726,159
1675106727,160
1675106728,166
1675106729,169
1675106730,172
1675106731,174
1675106732,158
1675106733,151
1675106734,158
1675106735,152
1675106736,146
1675106737,145
1675106738,151
1675106739,152
1675106740,154
1675106741,146
1675106742,145
1675106743,146
1675106744,147
1675106745,148
1675106746,148
1675106747,150
1675106748,149
1675106749,158
1675106750,159
1675106751,154
1675106752,150
1675106753,153
1675106754,161
1675106755,161
1675106756,164
1675106757,158
1675106758,164
1675106759,155
1675106760,155
1675106761,148
1675106762,147
1675106763,152
1675106764,150
1675106765,152
1675106766,151
1675106767,154
1675106768,155
1675106769,154
1675106770,152
1675106771,153
1675106772,159
1675106773,157
1675106774,158
1675106775,152
1675106776,149
1675106777,148
1675106778,147
1675106779,150
1675106780,153
1675106781,153
1675106782,152
1675106783,152
1675106784,160
1675106785,159
1675106786,157
1675106787,155
1675106788,158
1675106789,156
1675106790,156
1675106791,157
1675106792,159
1675106793,166
1675106794,162
1675106795,158
1675106796,156
1675106797,151
1675106798,148
1675106799,146
1675106800,147
1675106801,148
1675106802,148
1675106803,149
1675106804,146
1675106805,144
1675106806,146
1675106807,144
1675106808,148
1675106809,150
1675106810,168
1675106811,162
1675106812,162
1675106813,160
1675106814,157
1675106815,160
1675106816,151
1675106817,143
1675106818,142
1675106819,146
1675106820,148
1675106821,147
1675106822,143
1675106823,141
1675106824,141
1675106825,140
1675106826,140
1675106827,138
1675106828,139
1675106829,142
1675106830,146
1675106831,141
1675106832,140
1675106833,138
1675106834,133
1675106835,133
1675106836,134
1675106837,127
1675106838,131
1675106839,131
1675106840,137
1675106841,139
1675106842,144
1675106843,145
1675106844,148
1675106845,139
1675106846,139
1675106847,142
1675106848,145
1675106849,145
1675106850,145
