time,FPS
1680387305,134
1680387306,134
1680387307,133
1680387308,132
1680387309,136
1680387310,136
1680387311,136
1680387312,135
1680387313,135
1680387314,135
1680387315,136
1680387316,135
1680387317,135
1680387318,137
1680387319,142
1680387320,145
1680387321,146
1680387322,140
1680387323,127
1680387324,132
1680387325,135
1680387326,126
1680387327,123
1680387328,125
1680387329,129
1680387330,128
1680387331,126
1680387332,120
1680387333,120
1680387334,122
1680387335,123
1680387336,125
1680387337,127
1680387338,123
1680387339,128
1680387340,130
1680387341,130
1680387342,128
1680387343,128
1680387344,131
1680387345,135
1680387346,137
1680387347,132
1680387348,138
1680387349,138
1680387350,133
1680387351,131
1680387352,124
1680387353,123
1680387354,127
1680387355,127
1680387356,126
1680387357,125
1680387358,125
1680387359,125
1680387360,127
1680387361,125
1680387362,127
1680387363,131
1680387364,130
1680387365,130
1680387366,122
1680387367,122
1680387368,122
1680387369,121
1680387370,125
1680387371,127
1680387372,126
1680387373,124
1680387374,129
1680387375,128
1680387376,126
1680387377,125
1680387378,126
1680387379,125
1680387380,125
1680387381,123
1680387382,124
1680387383,123
1680387384,125
1680387385,126
1680387386,131
1680387387,125
1680387388,124
1680387389,123
1680387390,120
1680387391,119
1680387392,119
1680387393,121
1680387394,122
1680387395,125
1680387396,125
1680387397,121
1680387398,118
1680387399,120
1680387400,121
1680387401,121
1680387402,128
1680387403,132
1680387404,128
1680387405,127
1680387406,124
1680387407,125
1680387408,124
1680387409,122
1680387410,118
1680387411,116
1680387412,117
1680387413,120
1680387414,117
1680387415,115
1680387416,115
1680387417,116
1680387418,114
1680387419,114
1680387420,111
1680387421,114
1680387422,117
1680387423,120
1680387424,117
1680387425,117
1680387426,115
1680387427,113
1680387428,112
1680387429,114
1680387430,111
1680387431,110
1680387432,113
1680387433,116
1680387434,122
1680387435,127
1680387436,126
1680387437,128
1680387438,113
1680387439,116
1680387440,115
1680387441,115
