time,FPS
1677097772,161
1677097773,161
1677097774,158
1677097775,158
1677097776,162
1677097777,163
1677097778,163
1677097779,163
1677097780,162
1677097781,161
1677097782,163
1677097783,161
1677097784,158
1677097785,162
1677097786,168
1677097787,165
1677097788,170
1677097789,174
1677097790,168
1677097791,153
1677097792,159
1677097793,159
1677097794,150
1677097795,145
1677097796,148
1677097797,153
1677097798,158
1677097799,149
1677097800,146
1677097801,146
1677097802,147
1677097803,147
1677097804,148
1677097805,151
1677097806,148
1677097807,158
1677097808,158
1677097809,157
1677097810,152
1677097811,152
1677097812,158
1677097813,162
1677097814,162
1677097815,160
1677097816,166
1677097817,157
1677097818,156
1677097819,152
1677097820,147
1677097821,151
1677097822,151
1677097823,153
1677097824,153
1677097825,155
1677097826,155
1677097827,152
1677097828,157
1677097829,154
1677097830,156
1677097831,162
1677097832,157
1677097833,155
1677097834,148
1677097835,147
1677097836,149
1677097837,153
1677097838,157
1677097839,157
1677097840,156
1677097841,155
1677097842,163
1677097843,162
1677097844,158
1677097845,158
1677097846,159
1677097847,161
1677097848,160
1677097849,159
1677097850,156
1677097851,159
1677097852,156
1677097853,165
1677097854,159
1677097855,155
1677097856,152
1677097857,148
1677097858,145
1677097859,147
1677097860,148
1677097861,148
1677097862,148
1677097863,150
1677097864,150
1677097865,145
1677097866,147
1677097867,148
1677097868,147
1677097869,151
1677097870,167
1677097871,159
1677097872,159
1677097873,158
1677097874,159
1677097875,155
1677097876,157
1677097877,147
1677097878,143
1677097879,143
1677097880,147
1677097881,147
1677097882,146
1677097883,143
1677097884,143
1677097885,143
1677097886,141
1677097887,139
1677097888,141
1677097889,141
1677097890,146
1677097891,145
1677097892,142
1677097893,142
1677097894,136
1677097895,133
1677097896,133
1677097897,132
1677097898,128
1677097899,130
1677097900,131
1677097901,136
1677097902,137
1677097903,144
1677097904,146
1677097905,141
1677097906,140
1677097907,141
1677097908,142
