time,FPS
1678129042,214
1678129043,215
1678129044,213
1678129045,215
1678129046,216
1678129047,217
1678129048,216
1678129049,219
1678129050,218
1678129051,219
1678129052,216
1678129053,216
1678129054,218
1678129055,225
1678129056,218
1678129057,217
1678129058,208
1678129059,200
1678129060,198
1678129061,189
1678129062,190
1678129063,187
1678129064,182
1678129065,188
1678129066,193
1678129067,196
1678129068,191
1678129069,194
1678129070,190
1678129071,193
1678129072,194
1678129073,199
1678129074,204
1678129075,209
1678129076,202
1678129077,209
1678129078,213
1678129079,208
1678129080,210
1678129081,216
1678129082,217
1678129083,212
1678129084,210
1678129085,213
1678129086,212
1678129087,215
1678129088,211
1678129089,210
1678129090,207
1678129091,198
1678129092,195
1678129093,197
1678129094,194
1678129095,200
1678129096,198
1678129097,197
1678129098,198
1678129099,199
1678129100,206
1678129101,213
1678129102,209
1678129103,212
1678129104,220
1678129105,218
1678129106,213
1678129107,218
1678129108,216
1678129109,216
1678129110,215
1678129111,218
1678129112,211
1678129113,213
1678129114,210
1678129115,213
1678129116,211
1678129117,207
1678129118,210
1678129119,213
1678129120,223
1678129121,218
1678129122,217
1678129123,215
1678129124,212
1678129125,212
1678129126,213
1678129127,216
1678129128,218
1678129129,217
1678129130,216
1678129131,211
1678129132,215
1678129133,214
1678129134,214
1678129135,217
1678129136,215
1678129137,220
1678129138,216
1678129139,206
1678129140,206
1678129141,213
1678129142,207
1678129143,209
1678129144,205
1678129145,201
1678129146,201
1678129147,207
1678129148,210
1678129149,208
1678129150,204
1678129151,202
1678129152,202
1678129153,206
1678129154,202
1678129155,205
1678129156,205
1678129157,209
1678129158,203
1678129159,201
1678129160,204
1678129161,197
1678129162,198
1678129163,200
1678129164,185
1678129165,184
1678129166,186
1678129167,188
1678129168,191
1678129169,195
1678129170,196
1678129171,197
1678129172,187
1678129173,194
1678129174,196
1678129175,194
1678129176,195
1678129177,195
