time,FPS
1675970188,156
1675970189,157
1675970190,157
1675970191,158
1675970192,157
1675970193,161
1675970194,161
1675970195,159
1675970196,160
1675970197,160
1675970198,161
1675970199,159
1675970200,161
1675970201,162
1675970202,166
1675970203,167
1675970204,165
1675970205,160
1675970206,143
1675970207,136
1675970208,137
1675970209,134
1675970210,130
1675970211,133
1675970212,138
1675970213,142
1675970214,146
1675970215,140
1675970216,143
1675970217,145
1675970218,145
1675970219,145
1675970220,146
1675970221,148
1675970222,150
1675970223,156
1675970224,160
1675970225,155
1675970226,153
1675970227,156
1675970228,164
1675970229,162
1675970230,162
1675970231,163
1675970232,164
1675970233,158
1675970234,154
1675970235,149
1675970236,149
1675970237,154
1675970238,149
1675970239,151
1675970240,148
1675970241,150
1675970242,150
1675970243,149
1675970244,148
1675970245,150
1675970246,150
1675970247,157
1675970248,158
1675970249,150
1675970250,152
1675970251,147
1675970252,151
1675970253,153
1675970254,153
1675970255,152
1675970256,150
1675970257,153
1675970258,160
1675970259,156
1675970260,156
1675970261,155
1675970262,153
1675970263,156
1675970264,157
1675970265,156
1675970266,154
1675970267,160
1675970268,162
1675970269,158
1675970270,151
1675970271,150
1675970272,149
1675970273,148
1675970274,148
1675970275,147
1675970276,149
1675970277,150
1675970278,151
1675970279,152
1675970280,153
1675970281,144
1675970282,148
1675970283,148
1675970284,147
1675970285,146
1675970286,154
1675970287,156
1675970288,160
1675970289,153
1675970290,157
1675970291,156
1675970292,155
1675970293,148
1675970294,144
1675970295,140
1675970296,146
1675970297,148
1675970298,145
1675970299,143
1675970300,142
1675970301,142
1675970302,139
1675970303,140
1675970304,139
1675970305,141
1675970306,144
1675970307,145
1675970308,141
1675970309,143
1675970310,138
1675970311,132
1675970312,136
1675970313,134
1675970314,127
1675970315,129
1675970316,132
1675970317,134
1675970318,137
1675970319,141
