time,FPS
1675726187,159
1675726188,159
1675726189,154
1675726190,159
1675726191,159
1675726192,161
1675726193,162
1675726194,158
1675726195,161
1675726196,162
1675726197,162
1675726198,159
1675726199,160
1675726200,160
1675726201,167
1675726202,167
1675726203,172
1675726204,176
1675726205,157
1675726206,152
1675726207,161
1675726208,153
1675726209,147
1675726210,145
1675726211,148
1675726212,151
1675726213,152
1675726214,143
1675726215,145
1675726216,146
1675726217,145
1675726218,149
1675726219,149
1675726220,148
1675726221,152
1675726222,159
1675726223,158
1675726224,154
1675726225,152
1675726226,156
1675726227,160
1675726228,165
1675726229,158
1675726230,165
1675726231,163
1675726232,152
1675726233,153
1675726234,145
1675726235,148
1675726236,152
1675726237,150
1675726238,151
1675726239,154
1675726240,155
1675726241,154
1675726242,155
1675726243,147
1675726244,154
1675726245,162
1675726246,157
1675726247,155
1675726248,153
1675726249,150
1675726250,150
1675726251,151
1675726252,155
1675726253,156
1675726254,156
1675726255,154
1675726256,158
1675726257,161
1675726258,155
1675726259,159
1675726260,158
1675726261,157
1675726262,158
1675726263,159
1675726264,162
1675726265,164
1675726266,161
1675726267,156
1675726268,152
1675726269,147
1675726270,145
1675726271,146
1675726272,146
1675726273,146
1675726274,149
1675726275,149
1675726276,148
1675726277,141
1675726278,145
1675726279,146
1675726280,147
1675726281,148
1675726282,162
1675726283,165
1675726284,162
1675726285,161
1675726286,161
1675726287,159
1675726288,158
1675726289,146
1675726290,143
1675726291,143
1675726292,145
1675726293,146
1675726294,145
1675726295,140
1675726296,141
1675726297,140
1675726298,139
1675726299,138
1675726300,140
1675726301,141
1675726302,145
1675726303,144
1675726304,139
1675726305,141
1675726306,135
1675726307,132
1675726308,134
1675726309,131
1675726310,130
1675726311,133
1675726312,133
1675726313,138
1675726314,141
1675726315,144
1675726316,146
1675726317,146
1675726318,143
1675726319,145
1675726320,141
1675726321,139
1675726322,144
1675726323,144
