time,FPS
1680201027,202
1680201028,201
1680201029,203
1680201030,203
1680201031,203
1680201032,206
1680201033,204
1680201034,204
1680201035,207
1680201036,206
1680201037,205
1680201038,205
1680201039,200
1680201040,204
1680201041,204
1680201042,209
1680201043,211
1680201044,207
1680201045,188
1680201046,181
1680201047,185
1680201048,181
1680201049,178
1680201050,183
1680201051,185
1680201052,174
1680201053,183
1680201054,185
1680201055,181
1680201056,180
1680201057,184
1680201058,179
1680201059,185
1680201060,190
1680201061,187
1680201062,194
1680201063,198
1680201064,195
1680201065,194
1680201066,196
1680201067,201
1680201068,205
1680201069,194
1680201070,208
1680201071,207
1680201072,203
1680201073,198
1680201074,194
1680201075,185
1680201076,189
1680201077,190
1680201078,190
1680201079,190
1680201080,194
1680201081,187
1680201082,193
1680201083,196
1680201084,191
1680201085,195
1680201086,196
1680201087,194
1680201088,188
1680201089,185
1680201090,188
1680201091,186
1680201092,189
1680201093,192
1680201094,189
1680201095,195
1680201096,187
1680201097,199
1680201098,197
1680201099,196
1680201100,195
1680201101,195
1680201102,196
1680201103,200
1680201104,198
1680201105,195
1680201106,194
1680201107,194
1680201108,196
1680201109,193
1680201110,195
1680201111,193
1680201112,185
1680201113,187
1680201114,182
1680201115,185
1680201116,190
1680201117,188
1680201118,193
1680201119,192
1680201120,186
1680201121,184
1680201122,184
1680201123,185
1680201124,187
1680201125,191
1680201126,210
1680201127,202
1680201128,199
1680201129,203
1680201130,203
1680201131,199
1680201132,195
1680201133,198
1680201134,183
1680201135,182
1680201136,179
1680201137,183
1680201138,180
1680201139,180
1680201140,173
1680201141,178
1680201142,176
1680201143,176
1680201144,172
1680201145,174
1680201146,176
1680201147,181
1680201148,181
1680201149,175
1680201150,180
1680201151,173
1680201152,171
1680201153,172
1680201154,172
1680201155,165
1680201156,167
1680201157,167
1680201158,173
1680201159,177
1680201160,182
1680201161,184
1680201162,179
