time,FPS
1679677085,205
1679677086,200
1679677087,203
1679677088,202
1679677089,203
1679677090,207
1679677091,206
1679677092,205
1679677093,202
1679677094,202
1679677095,199
1679677096,197
1679677097,202
1679677098,214
1679677099,206
1679677100,203
1679677101,197
1679677102,184
1679677103,177
1679677104,175
1679677105,178
1679677106,176
1679677107,171
1679677108,172
1679677109,177
1679677110,180
1679677111,181
1679677112,178
1679677113,180
1679677114,183
1679677115,180
1679677116,182
1679677117,187
1679677118,191
1679677119,188
1679677120,194
1679677121,201
1679677122,202
1679677123,197
1679677124,205
1679677125,206
1679677126,207
1679677127,203
1679677128,204
1679677129,204
1679677130,204
1679677131,200
1679677132,202
1679677133,199
1679677134,196
1679677135,185
1679677136,193
1679677137,178
1679677138,189
1679677139,188
1679677140,185
1679677141,186
1679677142,189
1679677143,192
1679677144,204
1679677145,197
1679677146,204
1679677147,208
1679677148,211
1679677149,209
1679677150,207
1679677151,203
1679677152,209
1679677153,204
1679677154,215
1679677155,202
1679677156,206
1679677157,207
1679677158,209
1679677159,206
1679677160,198
1679677161,200
1679677162,204
1679677163,208
1679677164,222
1679677165,220
1679677166,213
1679677167,214
1679677168,212
1679677169,209
1679677170,210
1679677171,213
1679677172,213
1679677173,215
1679677174,214
1679677175,205
1679677176,211
1679677177,214
1679677178,214
1679677179,213
1679677180,215
1679677181,206
1679677182,206
1679677183,194
1679677184,209
1679677185,205
1679677186,207
1679677187,202
1679677188,202
1679677189,195
1679677190,202
1679677191,205
1679677192,205
1679677193,195
1679677194,199
1679677195,200
1679677196,199
1679677197,204
1679677198,204
1679677199,205
1679677200,209
1679677201,207
1679677202,199
1679677203,204
1679677204,201
1679677205,198
1679677206,193
1679677207,194
1679677208,185
1679677209,187
1679677210,184
1679677211,189
1679677212,193
1679677213,195
1679677214,196
1679677215,187
1679677216,193
1679677217,196
1679677218,196
1679677219,195
