time,FPS
1679936412,220
1679936413,219
1679936414,219
1679936415,223
1679936416,221
1679936417,225
1679936418,224
1679936419,221
1679936420,223
1679936421,224
1679936422,223
1679936423,222
1679936424,225
1679936425,226
1679936426,229
1679936427,226
1679936428,226
1679936429,214
1679936430,196
1679936431,194
1679936432,197
1679936433,192
1679936434,187
1679936435,189
1679936436,192
1679936437,193
1679936438,198
1679936439,200
1679936440,203
1679936441,206
1679936442,204
1679936443,206
1679936444,211
1679936445,216
1679936446,207
1679936447,216
1679936448,220
1679936449,221
1679936450,214
1679936451,223
1679936452,224
1679936453,225
1679936454,225
1679936455,227
1679936456,226
1679936457,219
1679936458,220
1679936459,213
1679936460,216
1679936461,218
1679936462,210
1679936463,215
1679936464,216
1679936465,219
1679936466,219
1679936467,218
1679936468,217
1679936469,219
1679936470,219
1679936471,224
1679936472,222
1679936473,220
1679936474,221
1679936475,212
1679936476,223
1679936477,220
1679936478,221
1679936479,223
1679936480,221
1679936481,225
1679936482,228
1679936483,225
1679936484,225
1679936485,226
1679936486,226
1679936487,228
1679936488,226
1679936489,226
1679936490,228
1679936491,228
1679936492,227
1679936493,225
1679936494,221
1679936495,217
1679936496,218
1679936497,220
1679936498,221
1679936499,219
1679936500,223
1679936501,224
1679936502,225
1679936503,225
1679936504,219
1679936505,219
1679936506,221
1679936507,224
1679936508,221
1679936509,230
1679936510,229
1679936511,229
1679936512,232
1679936513,231
1679936514,230
1679936515,227
1679936516,219
1679936517,213
1679936518,213
1679936519,217
1679936520,219
1679936521,215
1679936522,213
1679936523,212
1679936524,214
1679936525,209
1679936526,210
1679936527,209
1679936528,210
1679936529,213
1679936530,214
1679936531,206
1679936532,212
1679936533,208
1679936534,202
1679936535,198
1679936536,203
1679936537,191
1679936538,192
1679936539,193
1679936540,195
1679936541,202
1679936542,199
1679936543,205
1679936544,206
