time,FPS
1675725435,158
1675725436,159
1675725437,157
1675725438,158
1675725439,161
1675725440,163
1675725441,162
1675725442,161
1675725443,162
1675725444,162
1675725445,161
1675725446,161
1675725447,160
1675725448,163
1675725449,167
1675725450,166
1675725451,166
1675725452,162
1675725453,148
1675725454,139
1675725455,140
1675725456,142
1675725457,139
1675725458,133
1675725459,134
1675725460,141
1675725461,145
1675725462,146
1675725463,143
1675725464,144
1675725465,147
1675725466,146
1675725467,149
1675725468,151
1675725469,149
1675725470,152
1675725471,158
1675725472,157
1675725473,152
1675725474,153
1675725475,158
1675725476,160
1675725477,161
1675725478,158
1675725479,164
1675725480,162
1675725481,156
1675725482,150
1675725483,147
1675725484,151
1675725485,152
1675725486,149
1675725487,147
1675725488,149
1675725489,151
1675725490,151
1675725491,151
1675725492,150
1675725493,150
1675725494,154
1675725495,160
1675725496,156
1675725497,150
1675725498,152
1675725499,148
1675725500,151
1675725501,152
1675725502,153
1675725503,152
1675725504,151
1675725505,157
1675725506,156
1675725507,158
1675725508,156
1675725509,157
1675725510,159
1675725511,155
1675725512,157
1675725513,164
1675725514,161
1675725515,153
1675725516,160
1675725517,160
1675725518,157
1675725519,154
1675725520,149
1675725521,147
1675725522,149
1675725523,150
1675725524,151
1675725525,152
1675725526,151
1675725527,145
1675725528,146
1675725529,147
1675725530,148
1675725531,149
1675725532,163
1675725533,158
1675725534,158
1675725535,151
1675725536,158
1675725537,154
1675725538,154
1675725539,145
1675725540,142
1675725541,142
1675725542,147
1675725543,148
1675725544,144
1675725545,143
1675725546,144
1675725547,144
1675725548,142
1675725549,142
1675725550,142
1675725551,144
1675725552,147
1675725553,146
1675725554,143
1675725555,143
1675725556,137
1675725557,134
1675725558,136
1675725559,130
1675725560,128
1675725561,130
1675725562,134
1675725563,138
1675725564,142
1675725565,143
1675725566,141
