time,FPS
1674782910,159
1674782911,160
1674782912,160
1674782913,160
1674782914,157
1674782915,163
1674782916,164
1674782917,162
1674782918,159
1674782919,165
1674782920,166
1674782921,162
1674782922,162
1674782923,162
1674782924,166
1674782925,168
1674782926,174
1674782927,175
1674782928,168
1674782929,153
1674782930,158
1674782931,161
1674782932,150
1674782933,144
1674782934,150
1674782935,155
1674782936,158
1674782937,150
1674782938,147
1674782939,147
1674782940,143
1674782941,151
1674782942,150
1674782943,153
1674782944,149
1674782945,157
1674782946,160
1674782947,155
1674782948,152
1674782949,154
1674782950,161
1674782951,164
1674782952,164
1674782953,163
1674782954,163
1674782955,158
1674782956,155
1674782957,152
1674782958,148
1674782959,152
1674782960,153
1674782961,155
1674782962,154
1674782963,153
1674782964,159
1674782965,152
1674782966,158
1674782967,155
1674782968,157
1674782969,162
1674782970,159
1674782971,154
1674782972,149
1674782973,149
1674782974,146
1674782975,148
1674782976,152
1674782977,153
1674782978,151
1674782979,150
1674782980,158
1674782981,156
1674782982,158
1674782983,157
1674782984,159
1674782985,159
1674782986,157
1674782987,158
1674782988,156
1674782989,168
1674782990,162
1674782991,157
1674782992,153
1674782993,148
1674782994,146
1674782995,147
1674782996,149
1674782997,150
1674782998,150
1674782999,151
1674783000,150
1674783001,146
1674783002,147
1674783003,148
1674783004,148
1674783005,149
1674783006,159
1674783007,165
1674783008,154
1674783009,159
1674783010,160
1674783011,158
1674783012,146
1674783013,144
1674783014,144
1674783015,147
1674783016,149
1674783017,148
1674783018,145
1674783019,145
1674783020,143
1674783021,142
1674783022,142
1674783023,142
1674783024,143
1674783025,146
1674783026,148
1674783027,142
1674783028,144
1674783029,139
1674783030,135
1674783031,136
1674783032,136
1674783033,132
1674783034,134
1674783035,134
1674783036,138
1674783037,140
1674783038,143
1674783039,144
1674783040,143
1674783041,140
1674783042,142
1674783043,141
1674783044,142
1674783045,142
1674783046,142
1674783047,142
