time,FPS
1675990439,156
1675990440,156
1675990441,156
1675990442,156
1675990443,155
1675990444,158
1675990445,160
1675990446,158
1675990447,160
1675990448,160
1675990449,161
1675990450,161
1675990451,157
1675990452,162
1675990453,165
1675990454,166
1675990455,168
1675990456,164
1675990457,154
1675990458,144
1675990459,139
1675990460,140
1675990461,140
1675990462,132
1675990463,136
1675990464,139
1675990465,144
1675990466,145
1675990467,144
1675990468,143
1675990469,146
1675990470,142
1675990471,142
1675990472,147
1675990473,148
1675990474,149
1675990475,157
1675990476,157
1675990477,153
1675990478,154
1675990479,160
1675990480,161
1675990481,162
1675990482,159
1675990483,162
1675990484,162
1675990485,156
1675990486,152
1675990487,147
1675990488,151
1675990489,152
1675990490,147
1675990491,151
1675990492,149
1675990493,152
1675990494,153
1675990495,151
1675990496,150
1675990497,148
1675990498,154
1675990499,158
1675990500,155
1675990501,151
1675990502,152
1675990503,146
1675990504,150
1675990505,154
1675990506,156
1675990507,155
1675990508,150
1675990509,160
1675990510,157
1675990511,156
1675990512,157
1675990513,157
1675990514,157
1675990515,152
1675990516,155
1675990517,155
1675990518,156
1675990519,163
1675990520,160
1675990521,158
1675990522,154
1675990523,152
1675990524,150
1675990525,145
1675990526,150
1675990527,151
1675990528,153
1675990529,153
1675990530,150
1675990531,147
1675990532,148
1675990533,147
1675990534,148
1675990535,155
1675990536,167
1675990537,161
1675990538,159
1675990539,161
1675990540,152
1675990541,158
1675990542,156
1675990543,153
1675990544,146
1675990545,140
1675990546,143
1675990547,148
1675990548,147
1675990549,146
1675990550,143
1675990551,144
1675990552,140
1675990553,140
1675990554,141
1675990555,141
1675990556,143
1675990557,147
1675990558,144
1675990559,142
1675990560,142
1675990561,135
1675990562,134
1675990563,135
1675990564,128
1675990565,126
1675990566,127
1675990567,128
1675990568,134
1675990569,140
1675990570,138
1675990571,138
