time,FPS
1675376736,160
1675376737,160
1675376738,160
1675376739,160
1675376740,162
1675376741,163
1675376742,158
1675376743,161
1675376744,163
1675376745,159
1675376746,160
1675376747,161
1675376748,161
1675376749,162
1675376750,167
1675376751,170
1675376752,174
1675376753,175
1675376754,155
1675376755,152
1675376756,160
1675376757,150
1675376758,147
1675376759,146
1675376760,154
1675376761,154
1675376762,151
1675376763,145
1675376764,143
1675376765,144
1675376766,147
1675376767,149
1675376768,148
1675376769,148
1675376770,154
1675376771,159
1675376772,158
1675376773,151
1675376774,153
1675376775,159
1675376776,165
1675376777,166
1675376778,166
1675376779,167
1675376780,164
1675376781,158
1675376782,155
1675376783,147
1675376784,150
1675376785,152
1675376786,151
1675376787,152
1675376788,155
1675376789,157
1675376790,151
1675376791,157
1675376792,154
1675376793,155
1675376794,163
1675376795,158
1675376796,159
1675376797,152
1675376798,152
1675376799,150
1675376800,150
1675376801,154
1675376802,156
1675376803,156
1675376804,154
1675376805,159
1675376806,161
1675376807,159
1675376808,159
1675376809,159
1675376810,158
1675376811,158
1675376812,161
1675376813,162
1675376814,166
1675376815,168
1675376816,165
1675376817,161
1675376818,157
1675376819,150
1675376820,146
1675376821,148
1675376822,149
1675376823,151
1675376824,150
1675376825,151
1675376826,144
1675376827,146
1675376828,146
1675376829,147
1675376830,148
1675376831,156
1675376832,167
1675376833,163
1675376834,162
1675376835,161
1675376836,159
1675376837,158
1675376838,144
1675376839,142
1675376840,143
1675376841,148
1675376842,147
1675376843,146
1675376844,142
1675376845,143
1675376846,142
1675376847,141
1675376848,140
1675376849,140
1675376850,141
1675376851,145
1675376852,141
1675376853,141
1675376854,141
1675376855,136
1675376856,135
1675376857,134
1675376858,134
1675376859,135
1675376860,136
1675376861,138
1675376862,138
1675376863,142
1675376864,145
1675376865,147
1675376866,145
1675376867,140
1675376868,140
1675376869,143
1675376870,145
1675376871,145
1675376872,145
1675376873,145
1675376874,146
1675376875,108
