time,FPS
1680726763,71
1680726764,71
1680726765,70
1680726766,71
1680726767,72
1680726768,72
1680726769,72
1680726770,70
1680726771,72
1680726772,71
1680726773,72
1680726774,71
1680726775,72
1680726776,70
1680726777,74
1680726778,76
1680726779,77
1680726780,79
1680726781,67
1680726782,69
1680726783,72
1680726784,68
1680726785,66
1680726786,65
1680726787,67
1680726788,68
1680726789,66
1680726790,64
1680726791,61
1680726792,63
1680726793,62
1680726794,64
1680726795,65
1680726796,66
1680726797,64
1680726798,67
1680726799,67
1680726800,66
1680726801,67
1680726802,67
1680726803,68
1680726804,69
1680726805,70
1680726806,72
1680726807,72
1680726808,71
1680726809,69
1680726810,67
1680726811,64
1680726812,64
1680726813,64
1680726814,66
1680726815,63
1680726816,64
1680726817,63
1680726818,64
1680726819,65
1680726820,64
1680726821,66
1680726822,68
1680726823,67
1680726824,64
1680726825,62
1680726826,62
1680726827,63
1680726828,64
1680726829,65
1680726830,64
1680726831,65
1680726832,63
1680726833,65
1680726834,66
1680726835,65
1680726836,65
1680726837,66
1680726838,65
1680726839,65
1680726840,64
1680726841,62
1680726842,61
1680726843,62
1680726844,62
1680726845,64
1680726846,61
1680726847,60
1680726848,59
1680726849,59
1680726850,58
1680726851,59
1680726852,60
1680726853,60
1680726854,61
1680726855,63
1680726856,63
1680726857,60
1680726858,58
1680726859,59
1680726860,60
1680726861,61
1680726862,67
1680726863,66
1680726864,67
1680726865,66
1680726866,66
1680726867,65
1680726868,63
1680726869,62
1680726870,61
1680726871,60
1680726872,59
1680726873,60
1680726874,60
1680726875,58
1680726876,58
1680726877,58
1680726878,59
1680726879,57
1680726880,57
1680726881,58
1680726882,59
1680726883,62
1680726884,62
1680726885,62
1680726886,60
1680726887,59
1680726888,59
1680726889,58
1680726890,59
1680726891,60
1680726892,61
1680726893,62
1680726894,66
1680726895,69
1680726896,71
1680726897,70
