time,FPS
1677192460,159
1677192461,159
1677192462,160
1677192463,157
1677192464,159
1677192465,162
1677192466,160
1677192467,161
1677192468,162
1677192469,162
1677192470,162
1677192471,162
1677192472,158
1677192473,159
1677192474,158
1677192475,166
1677192476,169
1677192477,173
1677192478,172
1677192479,155
1677192480,155
1677192481,160
1677192482,150
1677192483,146
1677192484,148
1677192485,153
1677192486,157
1677192487,152
1677192488,145
1677192489,142
1677192490,146
1677192491,149
1677192492,148
1677192493,150
1677192494,149
1677192495,156
1677192496,159
1677192497,158
1677192498,154
1677192499,153
1677192500,156
1677192501,164
1677192502,166
1677192503,161
1677192504,165
1677192505,161
1677192506,155
1677192507,151
1677192508,146
1677192509,150
1677192510,151
1677192511,152
1677192512,152
1677192513,155
1677192514,155
1677192515,152
1677192516,157
1677192517,153
1677192518,156
1677192519,165
1677192520,157
1677192521,158
1677192522,151
1677192523,152
1677192524,151
1677192525,151
1677192526,156
1677192527,156
1677192528,156
1677192529,154
1677192530,160
1677192531,160
1677192532,155
1677192533,156
1677192534,156
1677192535,158
1677192536,158
1677192537,156
1677192538,164
1677192539,165
1677192540,161
1677192541,162
1677192542,154
1677192543,148
1677192544,147
1677192545,148
1677192546,146
1677192547,149
1677192548,151
1677192549,152
1677192550,153
1677192551,153
1677192552,146
1677192553,148
1677192554,149
1677192555,150
1677192556,149
1677192557,163
1677192558,164
1677192559,162
1677192560,161
1677192561,160
1677192562,158
1677192563,157
1677192564,148
1677192565,143
1677192566,142
1677192567,147
1677192568,147
1677192569,147
1677192570,142
1677192571,142
1677192572,142
1677192573,141
1677192574,138
1677192575,138
1677192576,140
1677192577,143
1677192578,144
1677192579,140
1677192580,141
1677192581,135
1677192582,132
1677192583,134
1677192584,132
1677192585,127
1677192586,129
1677192587,130
1677192588,136
1677192589,138
1677192590,140
1677192591,143
1677192592,145
1677192593,138
1677192594,141
1677192595,142
1677192596,145
1677192597,145
