time,FPS
1675376320,155
1675376321,160
1675376322,159
1675376323,159
1675376324,161
1675376325,162
1675376326,163
1675376327,162
1675376328,160
1675376329,161
1675376330,163
1675376331,159
1675376332,158
1675376333,161
1675376334,166
1675376335,169
1675376336,173
1675376337,176
1675376338,157
1675376339,152
1675376340,161
1675376341,153
1675376342,147
1675376343,148
1675376344,155
1675376345,156
1675376346,153
1675376347,145
1675376348,146
1675376349,143
1675376350,145
1675376351,149
1675376352,149
1675376353,149
1675376354,153
1675376355,159
1675376356,159
1675376357,151
1675376358,148
1675376359,156
1675376360,161
1675376361,163
1675376362,163
1675376363,159
1675376364,164
1675376365,153
1675376366,155
1675376367,147
1675376368,149
1675376369,152
1675376370,151
1675376371,152
1675376372,154
1675376373,154
1675376374,152
1675376375,156
1675376376,154
1675376377,157
1675376378,161
1675376379,158
1675376380,156
1675376381,149
1675376382,150
1675376383,147
1675376384,149
1675376385,150
1675376386,153
1675376387,155
1675376388,153
1675376389,157
1675376390,163
1675376391,157
1675376392,154
1675376393,155
1675376394,158
1675376395,156
1675376396,159
1675376397,160
1675376398,166
1675376399,168
1675376400,163
1675376401,157
1675376402,154
1675376403,147
1675376404,144
1675376405,146
1675376406,147
1675376407,148
1675376408,148
1675376409,149
1675376410,143
1675376411,141
1675376412,144
1675376413,146
1675376414,144
1675376415,147
1675376416,164
1675376417,163
1675376418,161
1675376419,161
1675376420,159
1675376421,158
1675376422,144
1675376423,142
1675376424,141
1675376425,144
1675376426,145
1675376427,143
1675376428,140
1675376429,141
1675376430,140
1675376431,139
1675376432,137
1675376433,138
1675376434,142
1675376435,143
1675376436,142
1675376437,140
1675376438,143
1675376439,136
1675376440,131
1675376441,133
1675376442,134
1675376443,131
1675376444,132
1675376445,132
1675376446,139
1675376447,133
1675376448,144
1675376449,143
1675376450,144
1675376451,138
1675376452,143
1675376453,141
1675376454,144
1675376455,145
1675376456,145
1675376457,144
