time,FPS
1680723815,108
1680723816,109
1680723817,107
1680723818,110
1680723819,111
1680723820,110
1680723821,110
1680723822,110
1680723823,110
1680723824,110
1680723825,110
1680723826,109
1680723827,110
1680723828,113
1680723829,117
1680723830,119
1680723831,122
1680723832,113
1680723833,104
1680723834,112
1680723835,110
1680723836,103
1680723837,100
1680723838,104
1680723839,105
1680723840,106
1680723841,101
1680723842,97
1680723843,98
1680723844,100
1680723845,99
1680723846,101
1680723847,105
1680723848,101
1680723849,106
1680723850,107
1680723851,107
1680723852,105
1680723853,103
1680723854,107
1680723855,109
1680723856,111
1680723857,108
1680723858,111
1680723859,111
1680723860,106
1680723861,104
1680723862,99
1680723863,100
1680723864,101
1680723865,103
1680723866,101
1680723867,103
1680723868,102
1680723869,102
1680723870,104
1680723871,101
1680723872,103
1680723873,108
1680723874,106
1680723875,104
1680723876,99
1680723877,99
1680723878,99
1680723879,99
1680723880,102
1680723881,103
1680723882,103
1680723883,101
1680723884,105
1680723885,107
1680723886,104
1680723887,104
1680723888,105
1680723889,103
1680723890,103
1680723891,101
1680723892,100
1680723893,101
1680723894,104
1680723895,108
1680723896,107
1680723897,103
1680723898,103
1680723899,101
1680723900,97
1680723901,96
1680723902,97
1680723903,97
1680723904,99
1680723905,99
1680723906,97
1680723907,95
1680723908,95
1680723909,97
1680723910,97
1680723911,101
1680723912,108
1680723913,105
1680723914,105
1680723915,103
1680723916,103
1680723917,102
1680723918,97
1680723919,96
1680723920,94
1680723921,95
1680723922,97
1680723923,94
1680723924,92
1680723925,93
1680723926,93
1680723927,92
1680723928,91
1680723929,91
1680723930,92
1680723931,95
1680723932,97
1680723933,94
1680723934,95
1680723935,92
1680723936,90
1680723937,90
1680723938,91
1680723939,89
1680723940,91
1680723941,92
1680723942,96
1680723943,100
1680723944,103
1680723945,105
1680723946,105
1680723947,94
1680723948,96
