time,FPS
1679594758,158
1679594759,157
1679594760,158
1679594761,157
1679594762,160
1679594763,161
1679594764,160
1679594765,161
1679594766,160
1679594767,162
1679594768,161
1679594769,158
1679594770,161
1679594771,163
1679594772,166
1679594773,165
1679594774,161
1679594775,155
1679594776,141
1679594777,133
1679594778,135
1679594779,136
1679594780,130
1679594781,132
1679594782,139
1679594783,144
1679594784,144
1679594785,141
1679594786,141
1679594787,145
1679594788,145
1679594789,145
1679594790,145
1679594791,148
1679594792,150
1679594793,158
1679594794,159
1679594795,153
1679594796,152
1679594797,156
1679594798,165
1679594799,161
1679594800,162
1679594801,163
1679594802,162
1679594803,156
1679594804,152
1679594805,147
1679594806,149
1679594807,153
1679594808,149
1679594809,150
1679594810,150
1679594811,153
1679594812,153
1679594813,152
1679594814,151
1679594815,153
1679594816,155
1679594817,157
1679594818,157
1679594819,150
1679594820,151
1679594821,147
1679594822,149
1679594823,152
1679594824,156
1679594825,156
1679594826,152
1679594827,159
1679594828,158
1679594829,155
1679594830,157
1679594831,154
1679594832,158
1679594833,156
1679594834,156
1679594835,155
1679594836,155
1679594837,156
1679594838,164
1679594839,157
1679594840,155
1679594841,153
1679594842,150
1679594843,148
1679594844,144
1679594845,149
1679594846,150
1679594847,151
1679594848,152
1679594849,148
1679594850,146
1679594851,148
1679594852,149
1679594853,149
1679594854,152
1679594855,167
1679594856,158
1679594857,151
1679594858,158
1679594859,155
1679594860,155
1679594861,149
1679594862,144
1679594863,138
1679594864,144
1679594865,148
1679594866,147
1679594867,143
1679594868,144
1679594869,143
1679594870,139
1679594871,141
1679594872,141
1679594873,143
1679594874,145
1679594875,148
1679594876,143
1679594877,145
1679594878,139
1679594879,135
1679594880,134
1679594881,134
1679594882,125
1679594883,127
1679594884,127
1679594885,128
1679594886,136
1679594887,143
