time,FPS
1679336949,159
1679336950,159
1679336951,160
1679336952,161
1679336953,162
1679336954,164
1679336955,162
1679336956,158
1679336957,164
1679336958,164
1679336959,163
1679336960,162
1679336961,160
1679336962,165
1679336963,166
1679336964,170
1679336965,173
1679336966,168
1679336967,154
1679336968,154
1679336969,159
1679336970,151
1679336971,145
1679336972,146
1679336973,154
1679336974,155
1679336975,152
1679336976,147
1679336977,147
1679336978,143
1679336979,147
1679336980,150
1679336981,152
1679336982,150
1679336983,155
1679336984,159
1679336985,153
1679336986,153
1679336987,154
1679336988,159
1679336989,165
1679336990,166
1679336991,165
1679336992,166
1679336993,163
1679336994,155
1679336995,152
1679336996,145
1679336997,150
1679336998,153
1679336999,153
1679337000,152
1679337001,154
1679337002,157
1679337003,150
1679337004,153
1679337005,152
1679337006,156
1679337007,160
1679337008,159
1679337009,155
1679337010,151
1679337011,152
1679337012,147
1679337013,148
1679337014,153
1679337015,156
1679337016,155
1679337017,153
1679337018,161
1679337019,162
1679337020,159
1679337021,158
1679337022,156
1679337023,158
1679337024,157
1679337025,155
1679337026,164
1679337027,163
1679337028,159
1679337029,157
1679337030,156
1679337031,152
1679337032,147
1679337033,147
1679337034,147
1679337035,148
1679337036,147
1679337037,149
1679337038,150
1679337039,151
1679337040,146
1679337041,146
1679337042,148
1679337043,149
1679337044,148
1679337045,162
1679337046,164
1679337047,159
1679337048,152
1679337049,158
1679337050,155
1679337051,154
1679337052,147
1679337053,145
1679337054,142
1679337055,145
1679337056,147
1679337057,145
1679337058,144
1679337059,144
1679337060,143
1679337061,142
1679337062,141
1679337063,141
1679337064,143
1679337065,146
1679337066,146
1679337067,140
1679337068,143
1679337069,138
1679337070,134
1679337071,135
1679337072,132
1679337073,129
1679337074,128
1679337075,130
1679337076,132
1679337077,138
1679337078,141
1679337079,141
1679337080,143
1679337081,134
