time,FPS
1680545193,86
1680545194,87
1680545195,86
1680545196,86
1680545197,89
1680545198,87
1680545199,85
1680545200,85
1680545201,86
1680545202,85
1680545203,86
1680545204,86
1680545205,85
1680545206,87
1680545207,87
1680545208,90
1680545209,93
1680545210,95
1680545211,93
1680545212,84
1680545213,83
1680545214,87
1680545215,80
1680545216,81
1680545217,79
1680545218,83
1680545219,82
1680545220,81
1680545221,76
1680545222,76
1680545223,76
1680545224,76
1680545225,77
1680545226,80
1680545227,79
1680545228,77
1680545229,81
1680545230,81
1680545231,81
1680545232,81
1680545233,82
1680545234,85
1680545235,85
1680545236,86
1680545237,87
1680545238,89
1680545239,86
1680545240,84
1680545241,81
1680545242,77
1680545243,79
1680545244,79
1680545245,82
1680545246,76
1680545247,77
1680545248,78
1680545249,77
1680545250,78
1680545251,77
1680545252,80
1680545253,82
1680545254,81
1680545255,78
1680545256,76
1680545257,77
1680545258,77
1680545259,79
1680545260,80
1680545261,80
1680545262,80
1680545263,78
1680545264,80
1680545265,79
1680545266,77
1680545267,78
1680545268,79
1680545269,80
1680545270,79
1680545271,80
1680545272,80
1680545273,82
1680545274,83
1680545275,81
1680545276,81
1680545277,78
1680545278,77
1680545279,76
1680545280,76
1680545281,76
1680545282,77
1680545283,78
1680545284,77
1680545285,73
1680545286,72
1680545287,73
1680545288,74
1680545289,76
1680545290,82
1680545291,80
1680545292,81
1680545293,80
1680545294,77
1680545295,77
1680545296,76
1680545297,74
1680545298,73
1680545299,73
1680545300,74
1680545301,73
1680545302,71
1680545303,70
1680545304,72
1680545305,72
1680545306,69
1680545307,69
1680545308,70
1680545309,72
1680545310,75
1680545311,76
1680545312,74
1680545313,73
1680545314,72
1680545315,72
1680545316,71
1680545317,72
1680545318,72
1680545319,72
1680545320,75
1680545321,80
1680545322,83
1680545323,84
1680545324,85
1680545325,77
1680545326,72
1680545327,73
1680545328,75
1680545329,74
