time,FPS
1677026490,203
1677026491,203
1677026492,203
1677026493,206
1677026494,205
1677026495,206
1677026496,204
1677026497,206
1677026498,205
1677026499,207
1677026500,206
1677026501,206
1677026502,207
1677026503,212
1677026504,215
1677026505,215
1677026506,214
1677026507,194
1677026508,192
1677026509,200
1677026510,176
1677026511,188
1677026512,190
1677026513,195
1677026514,197
1677026515,189
1677026516,183
1677026517,182
1677026518,183
1677026519,185
1677026520,183
1677026521,191
1677026522,188
1677026523,193
1677026524,197
1677026525,197
1677026526,195
1677026527,195
1677026528,195
1677026529,202
1677026530,210
1677026531,199
1677026532,208
1677026533,209
1677026534,199
1677026535,197
1677026536,187
1677026537,188
1677026538,191
1677026539,186
1677026540,192
1677026541,196
1677026542,193
1677026543,194
1677026544,197
1677026545,189
1677026546,197
1677026547,199
1677026548,189
1677026549,196
1677026550,185
1677026551,191
1677026552,183
1677026553,189
1677026554,196
1677026555,192
1677026556,197
1677026557,191
1677026558,201
1677026559,202
1677026560,199
1677026561,197
1677026562,201
1677026563,200
1677026564,200
1677026565,198
1677026566,198
1677026567,201
1677026568,207
1677026569,202
1677026570,196
1677026571,192
1677026572,185
1677026573,183
1677026574,185
1677026575,187
1677026576,188
1677026577,190
1677026578,190
1677026579,180
1677026580,181
1677026581,183
1677026582,183
1677026583,182
1677026584,197
1677026585,201
1677026586,199
1677026587,195
1677026588,199
1677026589,197
1677026590,191
1677026591,183
1677026592,181
1677026593,181
1677026594,183
1677026595,179
1677026596,176
1677026597,173
1677026598,173
1677026599,177
1677026600,175
1677026601,171
1677026602,174
1677026603,176
1677026604,180
1677026605,180
1677026606,174
1677026607,178
1677026608,173
1677026609,173
1677026610,169
1677026611,168
1677026612,164
1677026613,165
1677026614,168
1677026615,172
1677026616,178
1677026617,179
1677026618,187
1677026619,173
1677026620,176
1677026621,172
1677026622,180
