time,FPS
1674782108,159
1674782109,160
1674782110,161
1674782111,159
1674782112,156
1674782113,163
1674782114,163
1674782115,163
1674782116,163
1674782117,163
1674782118,163
1674782119,160
1674782120,161
1674782121,162
1674782122,162
1674782123,169
1674782124,173
1674782125,174
1674782126,166
1674782127,152
1674782128,159
1674782129,157
1674782130,149
1674782131,143
1674782132,152
1674782133,156
1674782134,157
1674782135,150
1674782136,149
1674782137,146
1674782138,142
1674782139,148
1674782140,147
1674782141,152
1674782142,149
1674782143,158
1674782144,156
1674782145,157
1674782146,153
1674782147,154
1674782148,159
1674782149,160
1674782150,164
1674782151,161
1674782152,164
1674782153,159
1674782154,154
1674782155,151
1674782156,147
1674782157,151
1674782158,153
1674782159,155
1674782160,154
1674782161,154
1674782162,159
1674782163,150
1674782164,156
1674782165,152
1674782166,157
1674782167,160
1674782168,157
1674782169,154
1674782170,146
1674782171,148
1674782172,147
1674782173,149
1674782174,151
1674782175,152
1674782176,153
1674782177,153
1674782178,162
1674782179,157
1674782180,158
1674782181,157
1674782182,157
1674782183,158
1674782184,156
1674782185,158
1674782186,161
1674782187,158
1674782188,161
1674782189,159
1674782190,155
1674782191,153
1674782192,151
1674782193,149
1674782194,147
1674782195,150
1674782196,151
1674782197,151
1674782198,152
1674782199,148
1674782200,146
1674782201,147
1674782202,147
1674782203,148
1674782204,153
1674782205,166
1674782206,161
1674782207,152
1674782208,158
1674782209,155
1674782210,155
1674782211,148
1674782212,145
1674782213,143
1674782214,147
1674782215,149
1674782216,147
1674782217,145
1674782218,143
1674782219,144
1674782220,141
1674782221,140
1674782222,139
1674782223,139
1674782224,144
1674782225,145
1674782226,140
1674782227,142
1674782228,136
1674782229,134
1674782230,133
1674782231,133
1674782232,129
1674782233,130
1674782234,132
1674782235,132
1674782236,136
1674782237,138
1674782238,138
1674782239,140
1674782240,133
1674782241,141
1674782242,134
1674782243,139
1674782244,138
1674782245,139
1674782246,139
1674782247,139
