time,FPS
1676055237,159
1676055238,160
1676055239,160
1676055240,158
1676055241,159
1676055242,162
1676055243,162
1676055244,162
1676055245,159
1676055246,160
1676055247,162
1676055248,159
1676055249,159
1676055250,163
1676055251,167
1676055252,169
1676055253,171
1676055254,174
1676055255,164
1676055256,153
1676055257,160
1676055258,158
1676055259,150
1676055260,145
1676055261,148
1676055262,153
1676055263,155
1676055264,146
1676055265,144
1676055266,145
1676055267,146
1676055268,148
1676055269,148
1676055270,150
1676055271,151
1676055272,159
1676055273,159
1676055274,153
1676055275,153
1676055276,153
1676055277,163
1676055278,163
1676055279,166
1676055280,159
1676055281,164
1676055282,160
1676055283,154
1676055284,149
1676055285,147
1676055286,153
1676055287,150
1676055288,152
1676055289,152
1676055290,158
1676055291,154
1676055292,151
1676055293,154
1676055294,153
1676055295,156
1676055296,158
1676055297,159
1676055298,148
1676055299,150
1676055300,147
1676055301,147
1676055302,150
1676055303,153
1676055304,154
1676055305,154
1676055306,153
1676055307,158
1676055308,159
1676055309,158
1676055310,154
1676055311,158
1676055312,157
1676055313,163
1676055314,168
1676055315,160
1676055316,164
1676055317,154
1676055318,152
1676055319,148
1676055320,146
1676055321,146
1676055322,147
1676055323,149
1676055324,150
1676055325,152
1676055326,152
1676055327,149
1676055328,147
1676055329,148
1676055330,149
1676055331,149
1676055332,157
1676055333,170
1676055334,161
1676055335,161
1676055336,160
1676055337,155
1676055338,156
1676055339,149
1676055340,142
1676055341,142
1676055342,144
1676055343,147
1676055344,143
1676055345,142
1676055346,141
1676055347,141
1676055348,140
1676055349,138
1676055350,138
1676055351,139
1676055352,140
1676055353,144
1676055354,138
1676055355,141
1676055356,136
1676055357,132
1676055358,134
1676055359,134
1676055360,130
1676055361,131
1676055362,136
1676055363,138
1676055364,141
1676055365,145
1676055366,147
1676055367,149
1676055368,138
1676055369,140
1676055370,143
1676055371,145
1676055372,145
1676055373,145
