time,FPS
1680723413,46
1680723414,109
1680723415,109
1680723416,109
1680723417,110
1680723418,111
1680723419,111
1680723420,108
1680723421,111
1680723422,110
1680723423,110
1680723424,111
1680723425,109
1680723426,111
1680723427,112
1680723428,114
1680723429,119
1680723430,120
1680723431,119
1680723432,106
1680723433,108
1680723434,112
1680723435,106
1680723436,102
1680723437,103
1680723438,106
1680723439,105
1680723440,104
1680723441,98
1680723442,98
1680723443,99
1680723444,100
1680723445,102
1680723446,103
1680723447,103
1680723448,103
1680723449,107
1680723450,105
1680723451,105
1680723452,105
1680723453,105
1680723454,109
1680723455,111
1680723456,110
1680723457,110
1680723458,113
1680723459,108
1680723460,108
1680723461,101
1680723462,100
1680723463,102
1680723464,103
1680723465,104
1680723466,101
1680723467,102
1680723468,103
1680723469,103
1680723470,103
1680723471,104
1680723472,108
1680723473,106
1680723474,105
1680723475,101
1680723476,99
1680723477,98
1680723478,99
1680723479,101
1680723480,102
1680723481,104
1680723482,102
1680723483,101
1680723484,107
1680723485,106
1680723486,104
1680723487,104
1680723488,104
1680723489,103
1680723490,105
1680723491,106
1680723492,106
1680723493,108
1680723494,103
1680723495,101
1680723496,96
1680723497,95
1680723498,95
1680723499,95
1680723500,97
1680723501,98
1680723502,99
1680723503,98
1680723504,96
1680723505,95
1680723506,95
1680723507,96
1680723508,96
1680723509,99
1680723510,112
1680723511,109
1680723512,107
1680723513,106
1680723514,104
1680723515,102
1680723516,95
1680723517,94
1680723518,95
1680723519,96
1680723520,94
1680723521,93
1680723522,91
1680723523,92
1680723524,92
1680723525,92
1680723526,91
1680723527,92
1680723528,94
1680723529,98
1680723530,96
1680723531,96
1680723532,95
1680723533,91
1680723534,90
1680723535,92
1680723536,91
1680723537,93
1680723538,93
1680723539,96
1680723540,99
1680723541,102
1680723542,105
1680723543,106
1680723544,100
1680723545,95
1680723546,97
1680723547,96
1680723548,96
1680723549,91
