time,FPS
1676416692,158
1676416693,156
1676416694,154
1676416695,157
1676416696,157
1676416697,159
1676416698,162
1676416699,160
1676416700,160
1676416701,159
1676416702,158
1676416703,155
1676416704,156
1676416705,160
1676416706,166
1676416707,166
1676416708,167
1676416709,162
1676416710,151
1676416711,142
1676416712,139
1676416713,142
1676416714,140
1676416715,134
1676416716,140
1676416717,143
1676416718,146
1676416719,142
1676416720,146
1676416721,145
1676416722,145
1676416723,147
1676416724,146
1676416725,151
1676416726,148
1676416727,153
1676416728,159
1676416729,158
1676416730,151
1676416731,153
1676416732,158
1676416733,164
1676416734,161
1676416735,161
1676416736,164
1676416737,159
1676416738,154
1676416739,150
1676416740,147
1676416741,152
1676416742,148
1676416743,150
1676416744,147
1676416745,150
1676416746,153
1676416747,151
1676416748,152
1676416749,152
1676416750,153
1676416751,155
1676416752,158
1676416753,150
1676416754,147
1676416755,151
1676416756,145
1676416757,151
1676416758,155
1676416759,156
1676416760,153
1676416761,150
1676416762,160
1676416763,157
1676416764,157
1676416765,155
1676416766,156
1676416767,155
1676416768,152
1676416769,158
1676416770,164
1676416771,163
1676416772,156
1676416773,156
1676416774,156
1676416775,150
1676416776,148
1676416777,147
1676416778,148
1676416779,149
1676416780,150
1676416781,152
1676416782,154
1676416783,150
1676416784,148
1676416785,150
1676416786,149
1676416787,151
1676416788,153
1676416789,165
1676416790,159
1676416791,159
1676416792,152
1676416793,157
1676416794,156
1676416795,153
1676416796,146
1676416797,142
1676416798,144
1676416799,148
1676416800,147
1676416801,144
1676416802,143
1676416803,141
1676416804,142
1676416805,142
1676416806,140
1676416807,142
1676416808,143
1676416809,148
1676416810,143
1676416811,142
1676416812,141
1676416813,134
1676416814,134
1676416815,135
1676416816,127
1676416817,125
1676416818,127
1676416819,129
1676416820,133
1676416821,137
