time,FPS
1679077905,160
1679077906,161
1679077907,160
1679077908,158
1679077909,160
1679077910,162
1679077911,163
1679077912,162
1679077913,160
1679077914,165
1679077915,163
1679077916,166
1679077917,159
1679077918,163
1679077919,164
1679077920,166
1679077921,172
1679077922,174
1679077923,167
1679077924,155
1679077925,155
1679077926,158
1679077927,149
1679077928,144
1679077929,148
1679077930,155
1679077931,156
1679077932,151
1679077933,147
1679077934,146
1679077935,144
1679077936,148
1679077937,148
1679077938,152
1679077939,150
1679077940,156
1679077941,160
1679077942,158
1679077943,154
1679077944,153
1679077945,158
1679077946,165
1679077947,165
1679077948,166
1679077949,166
1679077950,162
1679077951,154
1679077952,152
1679077953,149
1679077954,152
1679077955,155
1679077956,154
1679077957,150
1679077958,156
1679077959,157
1679077960,156
1679077961,153
1679077962,153
1679077963,155
1679077964,162
1679077965,159
1679077966,157
1679077967,149
1679077968,149
1679077969,150
1679077970,150
1679077971,155
1679077972,155
1679077973,154
1679077974,152
1679077975,160
1679077976,156
1679077977,159
1679077978,156
1679077979,159
1679077980,161
1679077981,158
1679077982,160
1679077983,160
1679077984,167
1679077985,166
1679077986,164
1679077987,161
1679077988,156
1679077989,153
1679077990,149
1679077991,149
1679077992,150
1679077993,153
1679077994,152
1679077995,151
1679077996,146
1679077997,146
1679077998,149
1679077999,147
1679078000,151
1679078001,161
1679078002,162
1679078003,159
1679078004,158
1679078005,160
1679078006,155
1679078007,158
1679078008,141
1679078009,144
1679078010,150
1679078011,145
1679078012,150
1679078013,147
1679078014,144
1679078015,143
1679078016,143
1679078017,141
1679078018,142
1679078019,142
1679078020,141
1679078021,145
1679078022,148
1679078023,141
1679078024,145
1679078025,139
1679078026,134
1679078027,134
1679078028,136
1679078029,126
1679078030,133
1679078031,126
1679078032,136
1679078033,135
1679078034,140
1679078035,140
1679078036,142
1679078037,135
1679078038,142
1679078039,73
