time,FPS
1678212779,140
1678212780,140
1678212781,141
1678212782,140
1678212783,140
1678212784,143
1678212785,141
1678212786,142
1678212787,141
1678212788,142
1678212789,141
1678212790,142
1678212791,141
1678212792,141
1678212793,142
1678212794,148
1678212795,152
1678212796,154
1678212797,148
1678212798,132
1678212799,138
1678212800,139
1678212801,132
1678212802,131
1678212803,133
1678212804,131
1678212805,133
1678212806,123
1678212807,123
1678212808,122
1678212809,125
1678212810,128
1678212811,129
1678212812,131
1678212813,126
1678212814,132
1678212815,131
1678212816,131
1678212817,131
1678212818,133
1678212819,138
1678212820,134
1678212821,142
1678212822,144
1678212823,144
1678212824,142
1678212825,135
1678212826,134
1678212827,124
1678212828,129
1678212829,126
1678212830,133
1678212831,127
1678212832,132
1678212833,127
1678212834,127
1678212835,131
1678212836,129
1678212837,135
1678212838,137
1678212839,136
1678212840,128
1678212841,125
1678212842,126
1678212843,126
1678212844,127
1678212845,130
1678212846,131
1678212847,131
1678212848,129
1678212849,134
1678212850,131
1678212851,132
1678212852,135
1678212853,134
1678212854,136
1678212855,134
1678212856,133
1678212857,130
1678212858,137
1678212859,133
1678212860,130
1678212861,134
1678212862,131
1678212863,130
1678212864,128
1678212865,124
1678212866,123
1678212867,124
1678212868,125
1678212869,126
1678212870,127
1678212871,129
1678212872,122
1678212873,120
1678212874,122
1678212875,122
1678212876,124
1678212877,132
1678212878,133
1678212879,134
1678212880,132
1678212881,132
1678212882,131
1678212883,129
1678212884,125
1678212885,123
1678212886,123
1678212887,124
1678212888,121
1678212889,118
1678212890,116
1678212891,119
1678212892,120
1678212893,118
1678212894,117
1678212895,118
1678212896,119
1678212897,123
1678212898,125
1678212899,124
1678212900,124
1678212901,120
1678212902,119
1678212903,116
1678212904,120
1678212905,119
1678212906,120
1678212907,123
1678212908,129
1678212909,134
1678212910,138
1678212911,139
1678212912,136
