time,FPS
1678325911,203
1678325912,202
1678325913,202
1678325914,205
1678325915,204
1678325916,203
1678325917,202
1678325918,204
1678325919,203
1678325920,204
1678325921,202
1678325922,202
1678325923,204
1678325924,207
1678325925,207
1678325926,203
1678325927,198
1678325928,183
1678325929,185
1678325930,189
1678325931,181
1678325932,178
1678325933,184
1678325934,191
1678325935,185
1678325936,189
1678325937,185
1678325938,183
1678325939,186
1678325940,181
1678325941,188
1678325942,191
1678325943,189
1678325944,195
1678325945,199
1678325946,199
1678325947,194
1678325948,195
1678325949,199
1678325950,205
1678325951,196
1678325952,203
1678325953,206
1678325954,201
1678325955,197
1678325956,197
1678325957,188
1678325958,189
1678325959,191
1678325960,185
1678325961,189
1678325962,183
1678325963,191
1678325964,189
1678325965,192
1678325966,189
1678325967,190
1678325968,193
1678325969,194
1678325970,193
1678325971,188
1678325972,189
1678325973,183
1678325974,189
1678325975,192
1678325976,195
1678325977,196
1678325978,187
1678325979,196
1678325980,196
1678325981,198
1678325982,197
1678325983,197
1678325984,195
1678325985,197
1678325986,192
1678325987,196
1678325988,201
1678325989,199
1678325990,197
1678325991,194
1678325992,189
1678325993,184
1678325994,186
1678325995,184
1678325996,186
1678325997,187
1678325998,189
1678325999,190
1678326000,185
1678326001,183
1678326002,185
1678326003,188
1678326004,187
1678326005,189
1678326006,200
1678326007,200
1678326008,197
1678326009,197
1678326010,187
1678326011,196
1678326012,190
1678326013,185
1678326014,180
1678326015,171
1678326016,178
1678326017,181
1678326018,177
1678326019,175
1678326020,172
1678326021,174
1678326022,172
1678326023,171
1678326024,170
1678326025,172
1678326026,177
1678326027,178
1678326028,176
1678326029,173
1678326030,175
1678326031,171
1678326032,170
1678326033,172
1678326034,165
1678326035,166
1678326036,168
1678326037,170
1678326038,176
1678326039,176
1678326040,178
1678326041,183
1678326042,167
1678326043,173
1678326044,168
1678326045,175
1678326046,175
