time,FPS
1675290317,159
1675290318,160
1675290319,158
1675290320,159
1675290321,160
1675290322,158
1675290323,161
1675290324,162
1675290325,160
1675290326,163
1675290327,163
1675290328,161
1675290329,162
1675290330,165
1675290331,169
1675290332,172
1675290333,171
1675290334,165
1675290335,152
1675290336,157
1675290337,159
1675290338,150
1675290339,144
1675290340,150
1675290341,156
1675290342,156
1675290343,147
1675290344,146
1675290345,144
1675290346,146
1675290347,149
1675290348,146
1675290349,150
1675290350,148
1675290351,157
1675290352,155
1675290353,156
1675290354,152
1675290355,152
1675290356,158
1675290357,161
1675290358,164
1675290359,160
1675290360,163
1675290361,160
1675290362,154
1675290363,150
1675290364,147
1675290365,152
1675290366,153
1675290367,155
1675290368,152
1675290369,156
1675290370,157
1675290371,154
1675290372,153
1675290373,156
1675290374,157
1675290375,160
1675290376,159
1675290377,153
1675290378,148
1675290379,148
1675290380,150
1675290381,152
1675290382,154
1675290383,154
1675290384,154
1675290385,152
1675290386,160
1675290387,156
1675290388,153
1675290389,157
1675290390,155
1675290391,156
1675290392,155
1675290393,159
1675290394,158
1675290395,164
1675290396,160
1675290397,155
1675290398,150
1675290399,146
1675290400,144
1675290401,145
1675290402,146
1675290403,148
1675290404,149
1675290405,150
1675290406,148
1675290407,143
1675290408,145
1675290409,147
1675290410,146
1675290411,147
1675290412,166
1675290413,158
1675290414,158
1675290415,154
1675290416,157
1675290417,156
1675290418,151
1675290419,144
1675290420,143
1675290421,144
1675290422,147
1675290423,147
1675290424,144
1675290425,143
1675290426,141
1675290427,141
1675290428,141
1675290429,139
1675290430,140
1675290431,142
1675290432,146
1675290433,141
1675290434,141
1675290435,139
1675290436,134
1675290437,134
1675290438,135
1675290439,131
1675290440,129
1675290441,128
1675290442,128
1675290443,130
1675290444,133
1675290445,136
1675290446,139
1675290447,135
1675290448,136
1675290449,138
1675290450,138
1675290451,139
1675290452,139
