time,FPS
1680628204,75
1680628205,74
1680628206,75
1680628207,75
1680628208,75
1680628209,75
1680628210,75
1680628211,75
1680628212,75
1680628213,75
1680628214,75
1680628215,75
1680628216,75
1680628217,75
1680628218,78
1680628219,79
1680628220,80
1680628221,77
1680628222,71
1680628223,75
1680628224,76
1680628225,72
1680628226,70
1680628227,71
1680628228,72
1680628229,71
1680628230,69
1680628231,66
1680628232,67
1680628233,68
1680628234,67
1680628235,74
1680628236,73
1680628237,74
1680628238,73
1680628239,75
1680628240,75
1680628241,74
1680628242,73
1680628243,73
1680628244,77
1680628245,78
1680628246,77
1680628247,79
1680628248,80
1680628249,76
1680628250,75
1680628251,72
1680628252,71
1680628253,72
1680628254,72
1680628255,72
1680628256,71
1680628257,71
1680628258,72
1680628259,72
1680628260,71
1680628261,72
1680628262,76
1680628263,74
1680628264,73
1680628265,69
1680628266,69
1680628267,70
1680628268,68
1680628269,71
1680628270,72
1680628271,73
1680628272,71
1680628273,71
1680628274,73
1680628275,72
1680628276,71
1680628277,73
1680628278,72
1680628279,73
1680628280,73
1680628281,70
1680628282,70
1680628283,73
1680628284,73
1680628285,71
1680628286,73
1680628287,71
1680628288,71
1680628289,69
1680628290,69
1680628291,70
1680628292,70
1680628293,70
1680628294,70
1680628295,71
1680628296,71
1680628297,68
1680628298,69
1680628299,69
1680628300,70
1680628301,71
1680628302,74
1680628303,74
1680628304,74
1680628305,74
1680628306,73
1680628307,70
1680628308,69
1680628309,66
1680628310,66
1680628311,66
1680628312,67
1680628313,67
1680628314,65
1680628315,64
1680628316,64
1680628317,64
1680628318,64
1680628319,62
1680628320,62
1680628321,64
1680628322,67
1680628323,66
1680628324,65
1680628325,65
1680628326,61
1680628327,62
1680628328,62
1680628329,61
1680628330,61
1680628331,63
1680628332,63
1680628333,65
1680628334,68
1680628335,69
1680628336,69
