time,FPS
1680296998,196
1680296999,199
1680297000,200
1680297001,200
1680297002,203
1680297003,199
1680297004,200
1680297005,199
1680297006,200
1680297007,201
1680297008,199
1680297009,201
1680297010,203
1680297011,207
1680297012,203
1680297013,203
1680297014,201
1680297015,178
1680297016,178
1680297017,179
1680297018,179
1680297019,174
1680297020,177
1680297021,182
1680297022,180
1680297023,185
1680297024,180
1680297025,183
1680297026,184
1680297027,181
1680297028,181
1680297029,183
1680297030,189
1680297031,186
1680297032,197
1680297033,197
1680297034,194
1680297035,195
1680297036,196
1680297037,205
1680297038,208
1680297039,205
1680297040,191
1680297041,203
1680297042,196
1680297043,192
1680297044,189
1680297045,188
1680297046,192
1680297047,184
1680297048,185
1680297049,181
1680297050,184
1680297051,188
1680297052,189
1680297053,185
1680297054,187
1680297055,187
1680297056,194
1680297057,193
1680297058,183
1680297059,189
1680297060,183
1680297061,189
1680297062,193
1680297063,194
1680297064,194
1680297065,187
1680297066,195
1680297067,197
1680297068,193
1680297069,195
1680297070,196
1680297071,196
1680297072,192
1680297073,194
1680297074,198
1680297075,196
1680297076,198
1680297077,194
1680297078,191
1680297079,188
1680297080,181
1680297081,178
1680297082,185
1680297083,185
1680297084,186
1680297085,189
1680297086,188
1680297087,183
1680297088,179
1680297089,180
1680297090,182
1680297091,179
1680297092,194
1680297093,197
1680297094,199
1680297095,182
1680297096,197
1680297097,194
1680297098,191
1680297099,183
1680297100,174
1680297101,175
1680297102,180
1680297103,180
1680297104,177
1680297105,172
1680297106,173
1680297107,174
1680297108,172
1680297109,171
1680297110,171
1680297111,174
1680297112,180
1680297113,179
1680297114,171
1680297115,177
1680297116,171
1680297117,168
1680297118,170
1680297119,167
1680297120,160
1680297121,162
1680297122,162
1680297123,168
1680297124,171
1680297125,175
1680297126,171
1680297127,174
1680297128,165
1680297129,166
1680297130,167
1680297131,167
1680297132,165
1680297133,168
