time,FPS
1678831126,155
1678831127,156
1678831128,156
1678831129,155
1678831130,156
1678831131,159
1678831132,159
1678831133,159
1678831134,159
1678831135,158
1678831136,161
1678831137,160
1678831138,158
1678831139,158
1678831140,163
1678831141,166
1678831142,169
1678831143,168
1678831144,159
1678831145,149
1678831146,156
1678831147,152
1678831148,145
1678831149,141
1678831150,150
1678831151,152
1678831152,151
1678831153,143
1678831154,142
1678831155,144
1678831156,144
1678831157,145
1678831158,146
1678831159,147
1678831160,146
1678831161,154
1678831162,154
1678831163,151
1678831164,149
1678831165,151
1678831166,159
1678831167,161
1678831168,159
1678831169,160
1678831170,159
1678831171,153
1678831172,150
1678831173,145
1678831174,146
1678831175,150
1678831176,150
1678831177,149
1678831178,151
1678831179,153
1678831180,152
1678831181,151
1678831182,151
1678831183,151
1678831184,155
1678831185,152
1678831186,150
1678831187,143
1678831188,143
1678831189,141
1678831190,143
1678831191,145
1678831192,149
1678831193,149
1678831194,148
1678831195,152
1678831196,152
1678831197,155
1678831198,152
1678831199,150
1678831200,152
1678831201,151
1678831202,151
1678831203,153
1678831204,150
1678831205,162
1678831206,153
1678831207,150
1678831208,145
1678831209,140
1678831210,140
1678831211,142
1678831212,140
1678831213,143
1678831214,143
1678831215,145
1678831216,141
1678831217,139
1678831218,140
1678831219,144
1678831220,143
1678831221,147
1678831222,164
1678831223,158
1678831224,153
1678831225,157
1678831226,153
1678831227,154
1678831228,145
1678831229,140
1678831230,139
1678831231,142
1678831232,144
1678831233,143
1678831234,137
1678831235,138
1678831236,137
1678831237,135
1678831238,135
1678831239,136
1678831240,138
1678831241,138
1678831242,142
1678831243,137
1678831244,139
1678831245,135
1678831246,131
1678831247,129
1678831248,130
1678831249,123
1678831250,124
1678831251,124
1678831252,126
1678831253,128
1678831254,135
1678831255,135
1678831256,138
1678831257,129
1678831258,135
1678831259,134
