time,FPS
1677871022,103
1677871023,106
1677871024,105
1677871025,105
1677871026,107
1677871027,104
1677871028,104
1677871029,108
1677871030,103
1677871031,105
1677871032,108
1677871033,102
1677871034,107
1677871035,103
1677871036,107
1677871037,109
1677871038,113
1677871039,113
1677871040,108
1677871041,101
1677871042,104
1677871043,104
1677871044,99
1677871045,98
1677871046,95
1677871047,96
1677871048,101
1677871049,99
1677871050,97
1677871051,97
1677871052,95
1677871053,95
1677871054,97
1677871055,101
1677871056,99
1677871057,102
1677871058,99
1677871059,102
1677871060,101
1677871061,97
1677871062,102
1677871063,104
1677871064,108
1677871065,104
1677871066,108
1677871067,107
1677871068,103
1677871069,101
1677871070,96
1677871071,94
1677871072,99
1677871073,98
1677871074,99
1677871075,99
1677871076,102
1677871077,98
1677871078,101
1677871079,98
1677871080,103
1677871081,103
1677871082,102
1677871083,98
1677871084,97
1677871085,95
1677871086,95
1677871087,93
1677871088,96
1677871089,99
1677871090,97
1677871091,96
1677871092,100
1677871093,102
1677871094,99
1677871095,99
1677871096,102
1677871097,99
1677871098,103
1677871099,101
1677871100,105
1677871101,100
1677871102,97
1677871103,101
1677871104,98
1677871105,98
1677871106,94
1677871107,95
1677871108,95
1677871109,97
1677871110,96
1677871111,93
1677871112,98
1677871113,98
1677871114,92
1677871115,95
1677871116,95
1677871117,95
1677871118,97
1677871119,106
1677871120,105
1677871121,104
1677871122,103
1677871123,96
1677871124,100
1677871125,98
1677871126,101
1677871127,96
1677871128,93
1677871129,89
1677871130,89
1677871131,91
1677871132,93
1677871133,89
1677871134,90
1677871135,91
1677871136,88
1677871137,89
1677871138,87
1677871139,88
1677871140,92
1677871141,92
1677871142,91
1677871143,88
1677871144,85
1677871145,86
1677871146,85
1677871147,87
1677871148,82
1677871149,83
1677871150,85
1677871151,85
1677871152,88
1677871153,93
1677871154,91
1677871155,93
