time,FPS
1680724806,75
1680724807,75
1680724808,74
1680724809,76
1680724810,76
1680724811,75
1680724812,76
1680724813,75
1680724814,75
1680724815,75
1680724816,75
1680724817,75
1680724818,74
1680724819,76
1680724820,79
1680724821,80
1680724822,81
1680724823,72
1680724824,65
1680724825,69
1680724826,69
1680724827,66
1680724828,65
1680724829,66
1680724830,66
1680724831,66
1680724832,63
1680724833,62
1680724834,62
1680724835,63
1680724836,64
1680724837,66
1680724838,67
1680724839,65
1680724840,66
1680724841,68
1680724842,68
1680724843,67
1680724844,68
1680724845,70
1680724846,70
1680724847,72
1680724848,72
1680724849,73
1680724850,72
1680724851,70
1680724852,69
1680724853,65
1680724854,65
1680724855,64
1680724856,67
1680724857,64
1680724858,65
1680724859,63
1680724860,64
1680724861,65
1680724862,63
1680724863,64
1680724864,67
1680724865,66
1680724866,65
1680724867,61
1680724868,64
1680724869,62
1680724870,64
1680724871,65
1680724872,65
1680724873,66
1680724874,65
1680724875,67
1680724876,64
1680724877,64
1680724878,64
1680724879,65
1680724880,64
1680724881,65
1680724882,62
1680724883,67
1680724884,67
1680724885,66
1680724886,65
1680724887,64
1680724888,65
1680724889,63
1680724890,63
1680724891,63
1680724892,63
1680724893,63
1680724894,64
1680724895,64
1680724896,64
1680724897,62
1680724898,61
1680724899,61
1680724900,62
1680724901,62
1680724902,65
1680724903,67
1680724904,65
1680724905,65
1680724906,65
1680724907,63
1680724908,63
1680724909,62
1680724910,61
1680724911,59
1680724912,60
1680724913,60
1680724914,60
1680724915,58
1680724916,58
1680724917,59
1680724918,59
1680724919,57
1680724920,59
1680724921,59
1680724922,61
1680724923,63
1680724924,62
1680724925,62
1680724926,60
1680724927,59
1680724928,60
1680724929,60
1680724930,60
1680724931,60
1680724932,62
1680724933,64
1680724934,68
1680724935,70
1680724936,72
1680724937,71
1680724938,65
1680724939,62
1680724940,62
1680724941,63
1680724942,63
1680724943,63
1680724944,63
