time,FPS
1676326154,157
1676326155,161
1676326156,163
1676326157,159
1676326158,157
1676326159,162
1676326160,163
1676326161,163
1676326162,163
1676326163,160
1676326164,163
1676326165,163
1676326166,160
1676326167,163
1676326168,164
1676326169,166
1676326170,173
1676326171,174
1676326172,168
1676326173,156
1676326174,157
1676326175,162
1676326176,151
1676326177,146
1676326178,150
1676326179,156
1676326180,156
1676326181,150
1676326182,147
1676326183,146
1676326184,146
1676326185,146
1676326186,150
1676326187,152
1676326188,149
1676326189,158
1676326190,161
1676326191,155
1676326192,154
1676326193,154
1676326194,163
1676326195,166
1676326196,164
1676326197,166
1676326198,166
1676326199,161
1676326200,155
1676326201,149
1676326202,147
1676326203,151
1676326204,154
1676326205,153
1676326206,151
1676326207,156
1676326208,155
1676326209,152
1676326210,157
1676326211,154
1676326212,156
1676326213,161
1676326214,160
1676326215,153
1676326216,148
1676326217,150
1676326218,149
1676326219,149
1676326220,152
1676326221,154
1676326222,153
1676326223,151
1676326224,161
1676326225,159
1676326226,158
1676326227,157
1676326228,158
1676326229,157
1676326230,156
1676326231,157
1676326232,159
1676326233,171
1676326234,168
1676326235,166
1676326236,161
1676326237,157
1676326238,150
1676326239,146
1676326240,148
1676326241,149
1676326242,150
1676326243,151
1676326244,148
1676326245,141
1676326246,143
1676326247,146
1676326248,144
1676326249,143
1676326250,145
1676326251,143
1676326252,145
1676326253,136
1676326254,143
1676326255,142
1676326256,140
1676326257,141
1676326258,141
1676326259,143
1676326260,147
1676326261,145
1676326262,144
1676326263,142
1676326264,143
1676326265,141
1676326266,141
1676326267,139
1676326268,140
1676326269,143
1676326270,145
1676326271,140
1676326272,141
1676326273,138
1676326274,133
1676326275,133
1676326276,135
1676326277,125
1676326278,128
1676326279,128
1676326280,131
1676326281,131
1676326282,137
1676326283,138
1676326284,138
1676326285,135
1676326286,139
1676326287,134
1676326288,141
1676326289,135
1676326290,137
