time,FPS
1680120995,192
1680120996,193
1680120997,191
1680120998,191
1680120999,191
1680121000,192
1680121001,194
1680121002,194
1680121003,194
1680121004,194
1680121005,190
1680121006,185
1680121007,189
1680121008,192
1680121009,190
1680121010,186
1680121011,184
1680121012,169
1680121013,154
1680121014,152
1680121015,151
1680121016,154
1680121017,155
1680121018,150
1680121019,152
1680121020,153
1680121021,152
1680121022,156
1680121023,160
1680121024,160
1680121025,160
1680121026,160
1680121027,169
1680121028,175
1680121029,174
1680121030,182
1680121031,178
1680121032,176
1680121033,179
1680121034,184
1680121035,184
1680121036,177
1680121037,184
1680121038,184
1680121039,182
1680121040,183
1680121041,182
1680121042,189
1680121043,189
1680121044,179
1680121045,172
1680121046,169
1680121047,173
1680121048,174
1680121049,175
1680121050,174
1680121051,177
1680121052,175
1680121053,179
1680121054,188
1680121055,179
1680121056,188
1680121057,186
1680121058,185
1680121059,189
1680121060,194
1680121061,192
1680121062,194
1680121063,195
1680121064,203
1680121065,200
1680121066,199
1680121067,206
1680121068,205
1680121069,208
1680121070,203
1680121071,216
1680121072,213
1680121073,219
1680121074,216
1680121075,221
1680121076,219
1680121077,216
1680121078,213
1680121079,211
1680121080,208
1680121081,208
1680121082,210
1680121083,216
1680121084,204
1680121085,208
1680121086,211
1680121087,212
1680121088,212
1680121089,213
1680121090,218
1680121091,209
1680121092,220
1680121093,222
1680121094,221
1680121095,219
1680121096,214
1680121097,209
1680121098,207
1680121099,211
1680121100,212
1680121101,212
1680121102,210
1680121103,212
1680121104,207
1680121105,207
1680121106,206
1680121107,204
1680121108,208
1680121109,210
1680121110,211
1680121111,205
1680121112,205
1680121113,206
1680121114,203
1680121115,201
1680121116,204
1680121117,190
1680121118,191
1680121119,193
1680121120,195
1680121121,197
1680121122,200
1680121123,203
1680121124,205
1680121125,196
1680121126,202
1680121127,202
1680121128,203
1680121129,202
1680121130,203
